BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
1C--1D--1H--1S--1N--2C--2D--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2C--2D--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2C--2D--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2C--2D--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2C--2D--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2C--2H--,2S,4-card !S. It denies 4-card !H; but values for at least a raise to 2NT.
1C--1D--1H--1S--1N--2C--2H--,2N,Mildly inv to 3NT; does not promise 4 Card Major
1C--1D--1H--1S--1N--2C--2H--,3C,Asks to bid stoppers up-the line. Natural IF PASSED HAND and non forcing
1C--1D--1H--1S--1N--2C--2H--,3D,Game Values but no stopper in !C. IF PASSED HAND it is natural non forcing
1C--1D--1H--1S--1N--2C--2H--,3H,inv to Game
1C--1D--1H--1S--1N--2C--2H--,3N,Pass or correct with 4-card Spades
1C--1D--1H--1S--1N--2C--2H--2S--,2N,Sign Off; not max.range
1C--1D--1H--1S--1N--2C--2H--2S--,3S,Sign off; not max. range
1C--1D--1H--1S--1N--2C--2H--2S--,3N,Sign Off
1C--1D--1H--1S--1N--2C--2H--2S--,4S,Sgin off
1C--1D--1H--1S--1N--2C--2H--2N--,3N,Sign Off; max.range
1C--1D--1H--1S--1N--2C--2H--3C--,3D,!D Suit/Stop; implies a possible weakness in !S
1C--1D--1H--1S--1N--2C--2H--3C--,3H,Denies a !D Stop
1C--1D--1H--1S--1N--2C--2H--3C--,3S,Also Denies a !D Stop; but shows a 4-card !S suit in addition to the !H
1C--1D--1H--1S--1N--2C--2H--3C--,3N,To Play; probably with 3433 Shape and decent values in !S and !D.
1C--1D--1H--1S--1N--2C--2H--3D--,3H,No Strong !C holding; No 4-card !S
1C--1D--1H--1S--1N--2C--2H--3D--,3S,No Strong !C Holding; 4-card !S
1C--1D--1H--1S--1N--2C--2H--3D--,3N,To Play
1C--1D--1H--1S--1N--2C--2S--,2N,Mildly inv to 3NT; does not promise 4 card Major
1C--1D--1H--1S--1N--2C--2S--,3C,4 cards in !H and 5+ in !C
1C--1D--1H--1S--1N--2C--2S--,3D,Denies 4 cards in !S; 4 cards in !H and 5 in !D
1C--1D--1H--1S--1N--2C--2S--,3S,inv in !S
1C--1D--1H--1S--1N--2C--2S--,3N,To Play
1C--1D--1H--1S--1N--2C--2S--2N--,3N,Sign Off; max.range
1C--1D--1H--1S--1N--2D--,2H,Accepts Transfer
1C--1D--1H--1S--1N--2D--,2S,Good 4-card !H support; max. with xx in !S
1C--1D--1H--1S--1N--2D--,2N,Good !H Support; Max; 4432 shape with no worthless Doubleton
1C--1D--1H--1S--1N--2D--,3C,Good 4-card !H support; max. with xx in !C
1C--1D--1H--1S--1N--2D--,3D,Good 4-card !H support; max. with xx in !D
