BBOalert
Option
,1C,17+HcP; ANY
1C--1S--1N--,3N,8-9HcP; bal
1C--1S--1N--2C--,2D,No 4card MAJOR; minimum
1C--1S--1N--2C--,2H,4!H; 2-4!S; minimum
1C--1S--1N--2C--,2S,4!S; 2-3!H; minimum
1C--1S--1N--2C--,2N,No 4card MAJOR; MAXIMUM
1C--1S--1N--2C--,3C,5+!C; No 4card MAJOR; MAXIMUM
1C--1S--1N--2C--,3D,5+!D; No 4card MAJOR; MAXIMUM
1C--1S--1N--2C--,3H,4!H; 2-4!S; MAXIMUM
1C--1S--1N--2C--,3S,4!S; 2-3!H; MAXIMUM
1C--1S--1N--2C--2H--,3D,ASK !S
1C--1S--1N--2C--2H--3D--,3H,4!H + 2-3!S
1C--1S--1N--2C--2H--3D--,3S,4!H + 4!S
1C--1S--1N--2C--3H--,3S,ASK !S
1C--1S--1N--2C--3H--3S--,3N,4!H + 2-3!S
1C--1S--1N--2C--3H--3S--,4H,4!H + 4!S
1C--1S--2N--,3C,Baron; Bid 4card suits up the line
1C--1S--2N--,3D,5+!D
1C--1S--2N--,3H,5+!H
1C--1S--2N--,3S,5+!S
1C--1S--2N--,3N,3-8HcP; balanced. Signoff
1C--1N--,2C,5+!C
1C--1N--,2D,5+!D
1C--1N--,2H,5+!H
1C--1N--,2S,5+!S
1C--1N--,2N,18-20HcP; bal
1C--1N--,3C,6+!C; Self-sufficient suit
1C--1N--,3D,6+!D; Self-sufficient suit
1C--1N--,3H,6+!H; Self-sufficient suit
1C--1N--,3S,6+!S; Self-sufficient suit
1C--1N--,3N,21+HcP; bal
1C--1N--2N--,3C,Baron; Bid 4card suits up the line
1C--1N--2N--,3D,5+!D
1C--1N--2N--,3H,5+!H
1C--1N--2N--,3S,5+!S
1C--1N--2N--,3N,Signoff
1C--1N--3N--,4C,Baron; Bid 4card suits up the line
1C--1N--3N--,4D,5+!D
1C--1N--3N--,4H,5+!H
1C--1N--3N--,4S,5+!S
1C--2C--,2D,5+!D
1C--2C--,2H,5+!H
1C--2C--,2S,5+!S
1C--2C--,2N,18-20HcP; bal
1C--2C--,3C,5+!C
1C--2C--,3D,6+!D; Self-sufficient suit
1C--2C--,3H,6+!H; Self-sufficient suit
1C--2C--,3S,6+!S; Self-sufficient suit
1C--2C--,3N,21+HcP; bal
1C--2C--,4C,6+!C; Self-sufficient suit
1C--2C--2N--,3C,Baron; Bid 4card suits up the line
1C--2C--2N--,3D,5+!D
1C--2C--2N--,3H,5+!H
1C--2C--2N--,3S,5+!S
1C--2C--2N--,3N,Signoff
1C--2C--3N--,4C,Baron; Bid 4card suits up the line
1C--2C--3N--,4D,5+!D
1C--2C--3N--,4H,5+!H
1C--2C--3N--,4S,5+!S
1C--2D--,2H,5+!H
1C--2D--,2S,5+!S
1C--2D--,2N,18-20HcP; bal
1C--2D--,3C,5+!C
1C--2D--,3D,5+!D
1C--2D--,3H,6+!H; Self-sufficient suit
1C--2D--,3S,6+!S; Self-sufficient suit
1C--2D--,3N,21+HcP; bal
1C--2D--,4C,6+!C; Self-sufficient suit
1C--2D--,4D,6+!D; Self-sufficient suit
1C--2D--2N--,3C,Baron; Bid 4card suits up the line
1C--2D--2N--,3D,5+!D
1C--2D--2N--,3H,5+!H
1C--2D--2N--,3S,5+!S
1C--2D--2N--,3N,Signoff
1C--2D--3N--,4C,Baron; Bid 4card suits up the line
1C--2D--3N--,4D,5+!D
1C--2D--3N--,4H,5+!H
1C--2D--3N--,4S,5+!S
1C--2N--,3C,5+!C
1C--2N--,3D,5+!D
1C--2N--,3H,5+!H
1C--2N--,3S,5+!S
1C--2N--,3N,21+HcP; bal
1C--2N--,4C,6+!C; Self-sufficient suit
1C--2N--,4D,6+!D; Self-sufficient suit
1C--2N--,4H,6+!H; Self-sufficient suit
1C--2N--,4S,6+!S; Self-sufficient suit
1C--2N--3N--,4C,Baron; Bid 4card suits up the line
1C--2N--3N--,4D,5+!D
1C--2N--3N--,4H,5+!H
1C--2N--3N--,4S,5+!S
1CDbl,--,No control
1CDbl,1D,No CTRL; forcing to 1NT
1CDbl,1H,1 CTRL; forcing to 1NT
1CDbl,1S,2 CTRL; forcing to 2NT
1CDbl,1N,4 CTRL; GF
1CDbl,Rdbl,No control. 5+!C
1CDbl,2C,3 CTRL; GF
1CDbl,2D,5 CTRL; GF
1CDbl,2H,6+!H; No controls
1CDbl,2S,6+!S; No controls
1CDbl,2N,6+CTRL; GF
1CDbl,3C,6+!C; No controls
1CDbl,3D,6+!D; No controls
1CDbl1D--,1H,4+!H; NF; may have longer minor
1CDbl1D--,1S,4+!S; NF; may have longer minor
1CDbl1D--,1N,17-21HcP; bal
1CDbl1D--,2H,4+!H; Round
1CDbl1D--,2S,4+!S; Round
1CDbl1D--,2N,22-24HcP; bal
1CDbl1D--,3C,4+!C; Round
1CDbl1D--,3D,4+!D; Round
1CDbl1D--,3H,6+!H; GF
1CDbl1D--,3S,6+!S; GF
1CDbl1D--,3N,25-27HcP; bal
1CDbl1D--1N--,--,0-5HcP
1CDbl1D--1N--,2C,Stayman
1CDbl1D--1N--,2D,Signoff
1CDbl1D--1N--,2H,Signoff
1CDbl1D--1N--,2S,Signoff
1CDbl1D--1N--,2N,5-7HcP; bal
1CDbl1D--1N--,3C,Invite; 6+!C headed by K/Q
1CDbl1D--1N--,3D,Invite; 6+!D headed by K/Q
1CDbl1D--1N--,3H,Invite; 6+!H headed by K/Q
1CDbl1D--1N--,3S,Invite; 6+!S headed by K/Q
1CDbl1D--1N--,3N,8-9HcP; bal
1CDbl1D--1N--2C--,2D,No 4card MAJOR; minimum
1CDbl1D--1N--2C--,2H,4!H; 2-4!S; minimum
1CDbl1D--1N--2C--,2S,4!S; 2-3!H; minimum
1CDbl1D--1N--2C--,2N,No 4card MAJOR; MAXIMUM
