BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1C--1D--1H--2S--2N--,3C,5!d-4!c; denies 4!s
1C--1D--1H--2S--2N--3C--,3D,shape relay; usually no !d fit
1C--1D--1H--2S--2N--3C--3D--,3H,5-4-2-2
1C--1D--1H--2S--2N--3C--3D--,3N,sing. !h
1C--1D--1H--2S--2N--3C--3D--,3S,sing. !s
1C--1D--1H--2S--2N--3C--,3H,shape relay; sets !d
1C--1D--1H--2S--2N--3C--3H--,3N,sing. !s
1C--1D--1H--2S--2N--3C--3H--,3S,5-4-2-2
1C--1D--1H--2S--2N--3C--3H--,4C,sing. !h
1C--1D--1H--2S--2N--,3D,6+!d-4!c
1C--1D--1H--2S--2N--3D--,3H,shape relay; no !d fit
1C--1D--1H--2S--2N--3D--3H--,3N,short !h
1C--1D--1H--2S--2N--3D--3H--,3S,short !s
1C--1D--1H--2S--2N--3D--,3S,shape relay; sets !d
1C--1D--1H--2S--2N--3D--3S--,3N,short !S
1C--1D--1H--2S--2N--3D--3S--,4C,short !h
1C--1D--1H--2S--2N--,3H,5+!d-5+!c; short !s
1C--1D--1H--2S--2N--,3N,4!s-5!d-4!c
1C--1D--1H--2S--2N--,3S,5+!d-5+!c; short !h
1C--1D--1H--,3C,5+!d-4+!c 9-11
1C--1D--1H--,3D,6+!d 9(+)-11
1C--1D--1H--,3H,solid balanced invite; 4+!d-4!h
1C--1D--1H--,3S,splinter; 5+!d-4!h; mild slam interest
1C--1D--1H--,4C,splinter; 5+!d-4!h; mild slam interest
1C--1D--1H--,4H,
1C--1D--,1N,12-14 balanced; may have 4!d/4!h/4!s
1C--1D--1N--,2C,Please read chat#2-way checkback:  !d signoff or some invite hand
1C--1D--1N--2C--,2D,forced
1C--1D--1N--2C--2D--,2H,5!d-4!h 10-11 HCP
1C--1D--1N--2C--2D--,2N,4-5!d; 10-11 HCP
1C--1D--1N--2C--2D--,2S,5!d-4!s 10-11 HCP
1C--1D--1N--2C--2D--,3C,4+!d-5!c 9-11 HCP
1C--1D--1N--2C--2D--,3D,6+!d; 10-11 HCP
1C--1D--1N--2C--2D--,--,signoff in !d
1C--1D--1N--,2D,2-way checkback:  any GF hand
1C--1D--1N--2D--,2H,4!h; may have 4!s too
1C--1D--1N--2D--,2N,4!c-333 or 5 bad !c
1C--1D--1N--2D--,2S,4!s; denies 4!h
1C--1D--1N--2D--,3C,5 good !c-332
1C--1D--1N--2D--,3D,4!c-4!d
1C--1D--1N--,2H,4!d-4!h 10-12 HCP
1C--1D--1N--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !d; at least mild slam interest                                  c) 5+!d-5+!c GF                       d) 6+!d-5M GF
1C--1D--1N--2N--,3C,forced
1C--1D--1N--2N--3C--,3D,5+!d-5+!c GF+
1C--1D--1N--2N--3C--,3H,6+!d-5!h GF+
1C--1D--1N--2N--3C--,3N,Please read chat#6+ solid or semisolid !d; mild slam interest; NF
1C--1D--1N--2N--3C--,3S,6+!d-5!s GF+
1C--1D--1N--2N--3C--,4C,Please read chat#6+ solid or semisolid !d; serious slam interest; cue
1C--1D--1N--2N--3C--,4D,Please read chat#6+ solid or semisolid !d; serious slam interest; cue
1C--1D--1N--2N--3C--,4H,Please read chat#6+ solid or semisolid !d; serious slam interest; cue
1C--1D--1N--2N--3C--,4S,Please read chat#6+ solid or semisolid !d; serious slam interest; cue
1C--1D--1N--2N--3C--,--,!c signoff; 5+!c
1C--1D--1N--,2S,4!d-4!s 10-12 HCP
1C--1D--1N--,3C,4!d-5+!c 9-11
1C--1D--1N--,3D,Please read chat#6+!d GF; if slam interest then not great suit
1C--1D--1N--,3H,5+!d-4!s; sing. !h; GF
1C--1D--1N--,3S,5+!d-4!h; sing. !s; GF
1C--1D--,1S,4+!c-4!s; 11-16 unbalanced
1C--1D--1S--,1N,5-10; 4-5!d
1C--1D--1S--1N--,2C,6+!c-4!s minimum
1C--1D--1S--1N--,2D,11-14; 3+!d short !h
1C--1D--1S--1N--,2N,5!c-4!s 15-16
1C--1D--1S--1N--,2S,6+!c-4!s 15-16
1C--1D--1S--1N--,3C,6+ great !c-4!s; 11-13
1C--1D--1S--1N--,3D,4!c-4!d-4!s 15-17
1C--1D--1S--,2C,Please read chat#invit+ checkback; says nothing about shape
1C--1D--1S--2C--,2D,3!d; min or max
1C--1D--1S--2C--2D--,2H,GF; waiting
1C--1D--1S--2C--2D--,2N,invit; 4!d
1C--1D--1S--2C--2D--,2S,
1C--1D--1S--2C--2D--,3C,invit; 4+!c; 4!d
1C--1D--1S--2C--2D--,3D,invit
1C--1D--1S--2C--2D--,3S,slammish; balanced
1C--1D--1S--2C--,2H,11-13; 0-2!d
1C--1D--1S--2C--2H--,2S,GF relay; could be some slammish hand
1C--1D--1S--2C--2H--,3C,
1C--1D--1S--2C--2H--,3D,
1C--1D--1S--2C--2H--,3S,invitational; unbalanced
1C--1D--1S--2C--,2N,14-16; balanced; 2!d
1C--1D--1S--2C--,2S,14-16; unbalanced; 0-2!d
1C--1D--1S--2C--2S--,2N,waiting; may be some slammish hand
1C--1D--1S--2C--2S--,3C,denies slam interest
1C--1D--1S--2C--2S--,3D,denies slam interest
1C--1D--1S--2C--2S--,3H,4th suit forcing; denies slam interest
1C--1D--1S--2C--2S--,3S,denies slam interest
1C--1D--1S--2C--,3C,max; highly distributional
1C--1D--1S--2C--,3D,max; highly distributional
1C--1D--1S--,2D,
1C--1D--1S--2D--,2H,16 HCP; 5!c-4!s; 2-3!h but no stopper
1C--1D--1S--2D--,2N,5!c-4!s; 15-16; !h stopper
1C--1D--1S--2D--,2S,6+!c-4!s 15-16; not great club suit
1C--1D--1S--2D--,3C,6+ good !c; 4!s; 15-16
1C--1D--1S--2D--,3D,15-16; 3+!d unbalanced
1C--1D--1S--,2H,5+!d-4+!c slammish
1C--1D--1S--2H--,2N,GAR relay; asks shape
1C--1D--1S--2H--2N--,3C,5!d-4!c; denies 4!h
1C--1D--1S--2H--2N--3C--,3D,shape relay; usually no !d fit
1C--1D--1S--2H--2N--3C--3D--,3H,5-4-2-2
1C--1D--1S--2H--2N--3C--3D--,3N,sing. !h
1C--1D--1S--2H--2N--3C--3D--,3S,sing. !s
1C--1D--1S--2H--2N--3C--,3H,shape relay; sets !d
1C--1D--1S--2H--2N--3C--3H--,3N,sing. !s
1C--1D--1S--2H--2N--3C--3H--,3S,5-4-2-2
1C--1D--1S--2H--2N--3C--3H--,4C,sing. !h
1C--1D--1S--2H--2N--,3D,6+!d-4!c
1C--1D--1S--2H--2N--3D--,3H,shape relay; no !d fit
1C--1D--1S--2H--2N--3D--3H--,3N,short !h
1C--1D--1S--2H--2N--3D--3H--,3S,short !s
1C--1D--1S--2H--2N--3D--,3S,shape relay; sets !d
1C--1D--1S--2H--2N--3D--3S--,3N,short !S
1C--1D--1S--2H--2N--3D--3S--,4C,short !h
1C--1D--1S--2H--2N--,3H,5+!d-5+!c; short !s
1C--1D--1S--2H--2N--,3N,4!h-5!d-4!c
1C--1D--1S--2H--2N--,3S,5+!d-5+!c; short !h
1C--1D--1S--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !d; at least mild slam interest                                    c) 5+!d-5+!c GF but no slam        d) 6+!d-5!h                                e) strong slammish splinter raise of !s
1C--1D--1S--2N--,3C,forced
1C--1D--1S--2N--3C--,3D,5+!d-5!c GF but no slam
1C--1D--1S--2N--3C--,3H,6+!d-5!h GF
1C--1D--1S--2N--3C--,3N,Please read chat#6+ solid or semisolid !d; mild slam interest; NF
1C--1D--1S--2N--3C--,3S,any strong slam splinter for !s
1C--1D--1S--2N--3C--3S--,3N,asks shortness
1C--1D--1S--2N--3C--3S--3N--,4C,short !h
1C--1D--1S--2N--3C--3S--3N--,4D,short !c
1C--1D--1S--2N--3C--,4C,Please read chat#6+!d solid or semisolid; strong slam interest; cue
1C--1D--1S--2N--3C--,4D,Please read chat#6+!d solid or semisolid; strong slam interest; cue
1C--1D--1S--2N--3C--,4H,Please read chat#6+!d solid or semisolid; strong slam interest; cue
1C--1D--1S--2N--3C--,--,!c signoff; 4(3)+!c
1C--1D--1S--,2S,4+!d-4!s bad invite
1C--1D--1S--,3C,5+!d-4+!c; 9-11 HCP
1C--1D--1S--,3D,6+!d; 9(+)-11 HCP
1C--1D--1S--,3H,Please read chat#5+!d-4!s; GF splinter; mild slam interest
1C--1D--1S--,3S,solid balanced invite; 4+!d-4!s
1C--1D--1S--,4C,5+!d-4!s; splinter; mild slam interest
1C--1D--,2C,11-16
1C--1D--2C--,2D,
1C--1D--2C--,2H,invit+ relay
1C--1D--2C--2H--,2N,14-16; 0-2!d; GF
1C--1D--2C--2H--2N--,3H,asks !h stopper
1C--1D--2C--2H--2N--,3S,asks !s stopper
1C--1D--2C--2H--,2S,11-13; 3!d
1C--1D--2C--2H--2S--,3C,
1C--1D--2C--2H--2S--,3D,
1C--1D--2C--2H--2S--,3H,asks !h stopper
1C--1D--2C--2H--2S--,3S,asks !s stopper
1C--1D--2C--2H--,3C,11-13; 0-2!d
1C--1D--2C--2H--3C--,3H,asks !h stopper
1C--1D--2C--2H--3C--,3S,asks !s stopper
1C--1D--2C--2H--,3D,14-16; 3!d; GF
1C--1D--2C--2H--3D--,3H,asks !h stopper
1C--1D--2C--2H--3D--,3S,asks !s stopper
1C--1D--2C--,2N,Please read chat#2NT transfer -                          a) preempt to 3!c                       b) 6+ great !d; GF+                    c) 5+!d-5+!c GF+                       d) 6+!d-5M GF+                      e) slammish splinter raise of !c
1C--1D--2C--2N--,3C,forced
1C--1D--2C--2N--3C--,3D,5+!d-5!c GF+
1C--1D--2C--2N--3C--,3H,6+!d-5!h GF+
1C--1D--2C--2N--3C--,3N,Please read chat#6+ solid or semi-solid !d; mild slam interest; NF
1C--1D--2C--2N--3C--,3S,6+!d-5!s GF+
1C--1D--2C--2N--3C--,4C,Please read chat#6+ solid or semi-solid !d; serious slam interest; !c cue
1C--1D--2C--2N--3C--,4D,Please read chat#6+ solid or semi-solid !d; serious slam interest; no !c cue
1C--1D--2C--2N--3C--,4H,splinter for !c; strong slam interest
1C--1D--2C--2N--3C--,4S,splinter for !c; strong slam interest
1C--1D--2C--2N--3C--,--,preemptive !c raise
1C--1D--2C--,2S,5+!d-4!s GF
1C--1D--2C--2S--,2N,shape relay; GAR
1C--1D--2C--2S--2N--,3C,5!d-4!s 12-15
1C--1D--2C--2S--2N--3C--,3D,relay for shape
1C--1D--2C--2S--2N--3C--3D--,3H,5-4-2-2
1C--1D--2C--2S--2N--3C--3D--,3N,sing. !c
1C--1D--2C--2S--2N--3C--3D--,3S,sing. !h
1C--1D--2C--2S--2N--,3D,6+!d-4!s; any strength
1C--1D--2C--2S--2N--3D--,3H,relay for strength/shape
1C--1D--2C--2S--2N--3D--3H--,3N,12-15; short !c
1C--1D--2C--2S--2N--3D--3H--,3S,12-15; short !h
1C--1D--2C--2S--2N--3D--3H--,4C,16+; short !h
1C--1D--2C--2S--2N--3D--3H--,4D,16+; short !c
1C--1D--2C--2S--2N--,3H,5!d-4!s-2-2 16+
1C--1D--2C--2S--2N--,3N,5!d-4!s; 16+; sing. !c
1C--1D--2C--2S--2N--,3S,5!d-4!s; 16+; sing. !h
1C--1D--2C--,3C,9-11
1C--1D--2C--3C--,3H,St?!h
1C--1D--2C--3C--,3S,St?!s
1C--1D--2C--,3D,6+!d; 10-11 HCP
1C--1D--2C--,3H,Please read chat#3+!c; splinter; GF but no serious slam interest
1C--1D--2C--,3S,Please read chat#3+!c; splinter; GF but no serious slam interest
1C--1D--,2D,Please read chat#4+!c-4!d 11-14; no major; only 4!c if conc. in the minors
1C--1D--2D--,2H,invit+ relay
1C--1D--2D--2H--,2N,4!c-4!d; conc. in minors
1C--1D--2D--2H--2N--,3C,
1C--1D--2D--2H--2N--,3D,NF; was invite
1C--1D--2D--2H--2N--,3H,asks !h stopper
1C--1D--2D--2H--2N--,3S,asks !s stopper
1C--1D--2D--2H--,2S,5+!c-4!d minimum; unbalanced
1C--1D--2D--2H--2S--,2N,GF relay for shape
1C--1D--2D--2H--2S--2N--,3C,5!c-4!d
1C--1D--2D--2H--2S--2N--3C--,3D,Please read chat#relay for exact shape; interest in !c or NT
1C--1D--2D--2H--2S--2N--3C--3D--,3H,5-4-2-2
1C--1D--2D--2H--2S--2N--3C--3D--,3N,sing. !h
1C--1D--2D--2H--2S--2N--3C--3D--,3S,sing. !s
1C--1D--2D--2H--2S--2N--3C--,3H,relay for shape; sets !d
1C--1D--2D--2H--2S--2N--3C--3H--,3N,sing. !s
1C--1D--2D--2H--2S--2N--3C--3H--,3S,5-4-2-2
1C--1D--2D--2H--2S--2N--3C--3H--,4C,sing. !h
1C--1D--2D--2H--2S--2N--,3D,6+!c-4!d
1C--1D--2D--2H--2S--2N--3D--,3H,relay for shape; !c interest
1C--1D--2D--2H--2S--2N--3D--3H--,3N,short !h
1C--1D--2D--2H--2S--2N--3D--3H--,3S,short !s
1C--1D--2D--2H--2S--2N--3D--,3S,relay for shape; sets !d
1C--1D--2D--2H--2S--2N--3D--3S--,3N,short !s
1C--1D--2D--2H--2S--2N--3D--3S--,4C,short !h
1C--1D--2D--2H--2S--,3C,
1C--1D--2D--2H--2S--,3D,was invite with 4+!d; NF
1C--1D--2D--2H--2S--,3H,asks !h stopper
1C--1D--2D--2H--2S--,3S,asks !s stopper
1C--1D--2D--2H--,3C,5+!c-4!d maximum
1C--1D--2D--2H--3C--,3D,asks for shape; GAR
1C--1D--2D--2H--3C--3D--,3H,5!c-4!d
1C--1D--2D--2H--3C--3D--3H--,3S,asks exact shape; !c interest
1C--1D--2D--2H--3C--3D--3H--3S--,3N,5-4-2-2
1C--1D--2D--2H--3C--3D--3H--3S--,4C,sing !s
1C--1D--2D--2H--3C--3D--3H--3S--,4D,sing. !h
1C--1D--2D--2H--3C--3D--3H--,4C,asks exact shape; sets !d
1C--1D--2D--2H--3C--3D--3H--4C--,4D,5-4-2-2
1C--1D--2D--2H--3C--3D--3H--4C--,4H,sing. !s
1C--1D--2D--2H--3C--3D--3H--4C--,4S,sing. !h
1C--1D--2D--2H--3C--3D--,3N,6+!c-4!d; short !h
1C--1D--2D--2H--3C--3D--,3S,6+!c-4!d; short !s
1C--1D--2D--2H--3C--,3H,asks !h stopper
1C--1D--2D--2H--3C--,3S,asks !s stopper
1C--1D--2D--,2N,Please read chat#2NT transfer -                          a) !c signoff (preemptive)          b) 6+ great !d; at least mild slam interest                                  c) 5+!d-5+!c GF                       d) 6+!d-5M GF                         e) slammish splinter for !d
1C--1D--2D--2N--,3C,forced
1C--1D--2D--2N--3C--,3D,5+!d-5!c; GF
1C--1D--2D--2N--3C--,3H,6+!d-5!h GF+
1C--1D--2D--2N--3C--,3N,Please read chat#6+ solid or semisolid !d; mild slam interest; NF
1C--1D--2D--2N--3C--,3S,6+!d-5!s GF+
1C--1D--2D--2N--3C--,4C,Please read chat#6+ solid or semisolid !d; serious slam interest; !c cue
1C--1D--2D--2N--3C--,4D,Please read chat#6+ solid or semisolid !d; serious slam interest; no !c cue
1C--1D--2D--2N--3C--,4H,splinter for !d; serious slam interest
1C--1D--2D--2N--3C--,4S,splinter for !d; serious slam interest
1C--1D--2D--2N--3C--,--,preemptive raise
1C--1D--2D--,2S,5+!d-4!s GF
1C--1D--2D--2S--,2N,asks for shape; GAR relay
1C--1D--2D--2S--2N--,3C,5!d-4!s; 12-15
1C--1D--2D--2S--2N--3C--,3D,asks exact shape
1C--1D--2D--2S--2N--3C--3D--,3H,5-4-2-2
1C--1D--2D--2S--2N--3C--3D--,3N,sing. !c
1C--1D--2D--2S--2N--3C--3D--,3S,sing. !h
1C--1D--2D--2S--2N--,3D,6+!d-4!s; any strength
1C--1D--2D--2S--2N--3D--,3H,asks strength/shape
1C--1D--2D--2S--2N--3D--3H--,3N,12-15; short !c
1C--1D--2D--2S--2N--3D--3H--,3S,12-15; short !h
1C--1D--2D--2S--2N--3D--3H--,4C,16+; short !h
1C--1D--2D--2S--2N--3D--3H--,4D,16+; short !c
1C--1D--2D--2S--2N--,3H,5!d-4!s-2-2; 16+
1C--1D--2D--2S--2N--,3N,5!d-4!s; sing. !c; 16-18
1C--1D--2D--2S--2N--,3S,5!d-4!s; sing. !h; 16+
1C--1D--2D--2S--2N--,4C,5!d-4!s sing. !c; 19+
1C--1D--2D--,3C,5+!d-4!c 9-11
1C--1D--2D--,3D,
1C--1D--2D--,3H,Please read chat#splinter for !d; 4+!d; GF but not serious slam interest
1C--1D--2D--,3S,Please read chat#splinter for !d; 4+!d; GF but not serious slam interest
1C--1D--2D--,4D,
1C--1D--2D--,5D,may be weak or strong
1C--1D--,2H,Please read chat#ambiguous reverse:  17+ HCP either                                     a) 5+!c-4!h                              b) 5+!c-4!d                                c) 6+!c 1-suiter
1C--1D--2H--,2N,6+!d GF
1C--1D--2H--,2S,GF relay
1C--1D--2H--2S--,2N,5+!c-4!h; denies 4!s
1C--1D--2H--2S--2N--,3C,asks shape; GAR relay
1C--1D--2H--2S--2N--3C--,3D,5!c-4!h
1C--1D--2H--2S--2N--3C--3D--,3H,asks shape; denies !h interest
1C--1D--2H--2S--2N--3C--3D--3H--,3N,short !s
1C--1D--2H--2S--2N--3C--3D--3H--,3S,5-4-2-2
1C--1D--2H--2S--2N--3C--3D--3H--,4C,short !d
1C--1D--2H--2S--2N--3C--3D--,3S,asks shape; sets !h
1C--1D--2H--2S--2N--3C--3D--3S--,3N,5-4-2-2-
1C--1D--2H--2S--2N--3C--3D--3S--,4C,short !s
1C--1D--2H--2S--2N--3C--3D--3S--,4D,short !d
1C--1D--2H--2S--2N--3C--,3H,6+!c-4!h
1C--1D--2H--2S--2N--3C--3H--,3S,asks shape; denies !h interest
1C--1D--2H--2S--2N--3C--3H--3S--,3N,short !s
1C--1D--2H--2S--2N--3C--3H--3S--,4C,short !d
1C--1D--2H--2S--2N--3C--3H--,4C,asks shape; sets !h
1C--1D--2H--2S--2N--3C--3H--4C--,4D,short !s
1C--1D--2H--2S--2N--3C--3H--4C--,4H,short !d
1C--1D--2H--2S--,3C,6+!c 1-suiter
1C--1D--2H--2S--3C--,3D,5+!d; slammish
1C--1D--2H--2S--3C--3D--,3H,asks !h stopper
1C--1D--2H--2S--3C--3D--,3N,both majors stopped
1C--1D--2H--2S--3C--3D--,3S,asks !s stopper
1C--1D--2H--2S--3C--3D--,4C,cue; with 3!d
1C--1D--2H--2S--3C--,3H,asks !h stopper; or advance cue for !c
1C--1D--2H--2S--3C--,3N,both majors stopped
1C--1D--2H--2S--3C--,3S,asks !s stopper; or advance cue for !c
1C--1D--2H--2S--3C--,4C,sets !c
1C--1D--2H--2S--,3D,5+!c-4!d
1C--1D--2H--2S--3D--,3H,asks !h stopper; or advance cue for !d
1C--1D--2H--2S--3D--,3N,both majors stopped
1C--1D--2H--2S--3D--,3S,asks !s stopper; or advance cue for !d
1C--1D--2H--2S--3D--,4C,sets !c
1C--1D--2H--2S--,3H,6+!c-5!h; 3-4 losers
1C--1D--2H--2S--,3S,4!s-4!h-5!c 17+
1C--1D--2H--,3C,4-6 HCP
1C--1D--2H--,3D,6+!d; 4-6 HCP
1C--1D--2H--3D--,3H,asks !h stopper
1C--1D--2H--3D--,3S,asks !s stopper
1C--1D--2H--,3H,6!d-5!h GF
1C--1D--2H--,3S,6!d-5!s GF
1C--1D--,2N,18-20 balanced
1C--1D--2N--,3C,5+!d; any strength; transfer
1C--1D--2N--3C--,3D,forced
1C--1D--2N--3C--3D--,3H,5+!d-4!h slammish
1C--1D--2N--3C--3D--,3N,5!d slam try
1C--1D--2N--3C--3D--,3S,5+!d-4!s slammish
1C--1D--2N--3C--3D--,4C,5+!d-4+!c slam try
1C--1D--2N--3C--3D--,4D,6+!d slammish
1C--1D--2N--3C--3D--,--,6+!d 4-5 HCP
1C--1D--2N--,3D,4!d-4!h slam interest
1C--1D--2N--,3H,4!d-4!s slam try
1C--1D--2N--,3S,4!d-4!c slam try
1C--1D--2N--,4N,4!d-333 quant
1C--1D--,2S,reverse: 5+!c-4!s 17+ HCP
1C--1D--2S--,2N,GF relay; GAR
1C--1D--2S--2N--,3C,5!c-4!s
1C--1D--2S--2N--3C--,3D,asks shortness; denies !s interest
1C--1D--2S--2N--3C--3D--,3H,5-4-2-2
1C--1D--2S--2N--3C--3D--,3N,sing. !d
1C--1D--2S--2N--3C--3D--,3S,sing. !h
1C--1D--2S--2N--3C--,3H,asks shortness; sets !s
1C--1D--2S--2N--3C--3H--,3N,short !h
1C--1D--2S--2N--3C--3H--,3S,5-4-2-2
1C--1D--2S--2N--3C--3H--,4C,short !d
1C--1D--2S--2N--,3D,6+!c-4!s
1C--1D--2S--2N--3D--,3H,asks shortness; denies !s interest
1C--1D--2S--2N--3D--3H--,3N,short !d
1C--1D--2S--2N--3D--3H--,3S,short !h
1C--1D--2S--2N--3D--,3S,asks shortness; sets !s
1C--1D--2S--2N--3D--3S--,3N,short !h
1C--1D--2S--2N--3D--3S--,4C,short !d
1C--1D--2S--2N--,3N,5!c-4!s-4!d
1C--1D--2S--,3C,4-6 HCP
1C--1D--2S--,3D,4-6 HCP
1C--1D--2S--,3H,6!d-5!h GF
1C--1D--,3C,6+!c; good suit; 13-16
1C--1D--3C--,3D,5+!d; slammish
1C--1D--3C--3D--,3H,Please read chat#asks stopper in !h; or advance cue for !d
1C--1D--3C--3D--,3N,both majors stopped
1C--1D--3C--3D--,3S,Please read chat#asks stopper in !s; or advance cue in !d
1C--1D--3C--3D--,4C,cue; with 3!d
1C--1D--3C--,3H,asks !h stopper; or advance cue for !c
1C--1D--3C--,3N,both majors stopped
1C--1D--3C--,3S,asks !s stopper; or advance cue for !c
1C--1D--3C--,4C,
1C--1D--,3D,5+!c-4!d 14-16
1C--1D--3D--,3H,asks !h stopper; or advance cue for !d
1C--1D--3D--,3S,asks !s stopper; or advance cue for !d
1C--1D--,3H,4!s-4!d-4!c 18-22
1C--1D--,3N,4!s-4!h-1!d-4!c 18-22
1C--1D--,3S,4!h-4!d-4!c 18-22
1C--,1H,5+ HCP; may have 4+!d if weak
1C--1H--,1N,Please read chat#11-14; denies 4!s; may have 5!c-4!d and/or sing. !h
1C--1H--1N--,2C,Please read chat#2-way checkback:  signoff !d or any invite hand
1C--1H--1N--2C--,2D,forced
1C--1H--1N--2C--2D--,2H,5!h 10-11
1C--1H--1N--2C--2D--,2N,10-11; 4!h
1C--1H--1N--2C--2D--,2S,5!h-4!s 10-11
1C--1H--1N--2C--2D--,3C,5!h-4+!c 9-11
1C--1H--1N--2C--2D--,3D,5!h-5!d 9-11
1C--1H--1N--2C--2D--,3H,6+!h 9-11
1C--1H--1N--2C--2D--,--,4!h-5+!d signoff
1C--1H--1N--,2D,2-way checkback:  general GF
1C--1H--1N--2D--,2H,3!h
1C--1H--1N--2D--2H--,2N,waiting for more description
1C--1H--1N--2D--2H--,2S,
1C--1H--1N--2D--2H--,3C,5!h-4!c
1C--1H--1N--2D--2H--,3D,5!h-4!d
1C--1H--1N--2D--2H--,3H,6+!h; not good suit
1C--1H--1N--2D--2H--,3S,6+!h; splinter; slam interest
1C--1H--1N--2D--2H--,4C,6+!h; splinter; slam interest
1C--1H--1N--2D--2H--,4D,6+!h; splinter; slam interest
1C--1H--1N--2D--2H--,4H,
1C--1H--1N--2D--,2N,no other good bid
1C--1H--1N--2D--,2S,5!c-4!d-3!s
1C--1H--1N--2D--2S--,2N,waiting for more info
1C--1H--1N--2D--2S--,3C,5!h-4!c
1C--1H--1N--2D--2S--,3D,5!h-4!d
1C--1H--1N--2D--2S--,3H,6+!h; not good suit
1C--1H--1N--2D--2S--,3S,5!h-4!s
1C--1H--1N--2D--2S--,4C,6+!h; splinter; slam interest
1C--1H--1N--2D--2S--,4D,6+!h; splinter; slam interest
1C--1H--1N--2D--,3C,6 bad !c
1C--1H--1N--2D--,3D,5!c-4!d-2-2
1C--1H--1N--,2H,5 or bad 6crds
1C--1H--1N--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !h; at least mild slam interest                                    c) 5+!h-5+m GF                        d) 6+!h-5!s GF
1C--1H--1N--2N--,3C,forced
1C--1H--1N--2N--3C--,3D,5+!h-5+!d GF
1C--1H--1N--2N--3C--,3H,5+!h-5+!c GF
1C--1H--1N--2N--3C--,3N,Please read chat#6+ solid or semisolid !h; mild slam interest; NF
1C--1H--1N--2N--3C--,3S,6+!h-5!s GF
1C--1H--1N--2N--3C--,4C,Please read chat#6+ solid or semisolid !h; strong slam interest; cue
1C--1H--1N--2N--3C--,4D,Please read chat#6+ solid or semisolid !h; strong slam interest; cue
1C--1H--1N--2N--3C--,4H,Please read chat#6+ solid or semisolid !h; strong slam interest; no minor cue
1C--1H--1N--2N--3C--,--,!c signoff; 4(3)+ !c
1C--1H--1N--,2S,5+!h-4!s GF
1C--1H--1N--,3C,4!h-5+!c invit
1C--1H--1N--,3D,5!h-4!c sing. !d; GF
1C--1H--1N--,3H,6+!h; GF; average !h suit
1C--1H--1N--,3S,5!h-4!c; sing. !s; GF
1C--1H--,1S,11-16; 3+!c-4!s
1C--1H--1S--1N--,2C,6+!c-4!s 11-13
1C--1H--1S--1N--,2D,15-17 4!s-4!d-4!c or 15-16 4!s-4!d-5!c
1C--1H--1S--1N--,2H,5!c-4!s-3!h 14-16
1C--1H--1S--1N--,2N,5!c-4!s-3!d 15-16
1C--1H--1S--1N--,2S,6+!c-4!s 14-16
1C--1H--1S--1N--,3C,6+ good !c; 4!s 13-16
1C--1H--1S--1N--3C--,3D,St?!d; GF
1C--1H--1S--1N--3C--,3H,\BD stopper in !d; GF; (5)6+!h
1C--1H--1S--1N--3C--,3S,\BD stopper in !d; GF; 3!s
1C--1H--1S--,2C,invit+ relay; says nothing about shape
1C--1H--1S--2C--,2D,3!h; min or max
1C--1H--1S--2C--2D--,2H,relay; all slam hands bid this
1C--1H--1S--2C--2D--,2N,invite; 4!h
1C--1H--1S--2C--2D--,2S,unbal invite; NF
1C--1H--1S--2C--2D--,3C,
1C--1H--1S--2C--2D--,3H,invite; 5+!h; NF
1C--1H--1S--2C--2D--,3S,slam interest
1C--1H--1S--2C--2D--,4H,
1C--1H--1S--2C--,2H,11-13; 0-2!h
1C--1H--1S--2C--2H--,2S,Please read chat#GF relay; natural continuations; have to bid this with all slam hnds
1C--1H--1S--2C--2H--,3C,
1C--1H--1S--2C--2H--,3S,invite; unbalanced
1C--1H--1S--2C--2H--,4H,
1C--1H--1S--2C--2H--,4S,
1C--1H--1S--2C--,2N,14-16; 2!h; balanced; GF
1C--1H--1S--2C--,2S,14-16; unbalanced; 0-2!h; GF
1C--1H--1S--2C--2S--,2N,Please read chat#waiting; only way to eventually show a slammish hand
1C--1H--1S--,2D,5+!h-4!c GF
1C--1H--1S--2D--,2N,shape asking; GAR relay
1C--1H--1S--2D--2N--,3C,5!h-4!c 12-15
1C--1H--1S--2D--2N--3C--,3D,relay; denies !h interest
1C--1H--1S--2D--2N--3C--3D--,3H,5-4-2-2
1C--1H--1S--2D--2N--3C--3D--,3N,short !d
1C--1H--1S--2D--2N--3C--3D--,3S,short !s
1C--1H--1S--2D--2N--3C--,3H,relay; sets !h
1C--1H--1S--2D--2N--3C--3H--,3N,sing. !s
1C--1H--1S--2D--2N--3C--3H--,3S,5-4-2-2
1C--1H--1S--2D--2N--3C--3H--,4C,sing. !d
1C--1H--1S--2D--2N--,3D,6+!h-4!c; any strength
