BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1CDb1D--1H--2D--,2S,5!c-4!h 15-16; 2-3!s but not a stopper
1CDb1D--1H--2D--,3C,6+ good !c; 4!h; 15-16
1CDb1D--1H--2D--,3D,15-16; 3+!d; unbalanced
1CDb1D--1H--,2H,mild balanced invite; 4+!d-4!h
1CDb1D--1H--,2N,Please read chat#2NT transfer -                          a) !c signoff                               b) 6+ great !d; GF+                    c) 5+!d-5+!c GF but no slam        d) 6+!d-5M                                e) slammish splinter raise of !h
1CDb1D--1H--2N--,3C,forced
1CDb1D--1H--2N--3C--,3D,5!d-5!c; GF but no slam
1CDb1D--1H--2N--3C--,3H,6+!d-5!h GF
1CDb1D--1H--2N--3C--,3N,Please read chat#6+ solid or semisolid !d; only mild slam interest
1CDb1D--1H--2N--3C--,3S,6+!d-5!s GF
1CDb1D--1H--2N--3C--,4C,splinter for !h; strong slam interest
1CDb1D--1H--2N--3C--,4D,Please read chat#solid or semi-solid 6+!d; strong slam interest
1CDb1D--1H--2N--3C--,4H,Please read chat#!s splinter for !h; strong slam interest
1CDb1D--1H--2N--3C--,4S,Please read chat#solid or semi-solid 6+!d; strong slam interest; !s cue
1CDb1D--1H--2N--3C--,--,4(3)+!c; signoff
1CDb1D--1H--,2S,5+!d-4+!c; slammish
1CDb1D--1H--2S--,2N,GAR relay; asks shape
1CDb1D--1H--2S--2N--,3C,5!d-4!c; denies 4!s
1CDb1D--1H--2S--2N--3C--,3D,shape relay; usually no !d fit
1CDb1D--1H--2S--2N--3C--3D--,3H,5-4-2-2
1CDb1D--1H--2S--2N--3C--3D--,3N,sing. !h
1CDb1D--1H--2S--2N--3C--3D--,3S,sing. !s
1CDb1D--1H--2S--2N--3C--,3H,shape relay; sets !d
1CDb1D--1H--2S--2N--3C--3H--,3N,sing. !s
1CDb1D--1H--2S--2N--3C--3H--,3S,5-4-2-2
1CDb1D--1H--2S--2N--3C--3H--,4C,sing. !h
1CDb1D--1H--2S--2N--,3D,6+!d-4!c
1CDb1D--1H--2S--2N--3D--,3H,shape relay; no !d fit
1CDb1D--1H--2S--2N--3D--3H--,3N,short !h
1CDb1D--1H--2S--2N--3D--3H--,3S,short !s
1CDb1D--1H--2S--2N--3D--,3S,shape relay; sets !d
1CDb1D--1H--2S--2N--3D--3S--,3N,short !S
1CDb1D--1H--2S--2N--3D--3S--,4C,short !h
1CDb1D--1H--2S--2N--,3H,5+!d-5+!c; short !s
1CDb1D--1H--2S--2N--,3N,4!s-5!d-4!c
1CDb1D--1H--2S--2N--,3S,5+!d-5+!c; short !h
1CDb1D--1H--,3C,5+!d-4+!c 9-11
1CDb1D--1H--,3D,6+!d 9(+)-11
1CDb1D--1H--,3H,solid balanced invite; 4+!d-4!h
1CDb1D--1H--,3S,splinter; 5+!d-4!h; mild slam interest
1CDb1D--1H--,4C,splinter; 5+!d-4!h; mild slam interest
1CDb1D--1H--,4H,
1CDb1D--,1N,12-14 balanced; may have 4!d/4!h/4!s
1CDb1D--1N--,2C,Please read chat#2-way checkback:  !d signoff or some invite hand
1CDb1D--1N--2C--,2D,forced
1CDb1D--1N--2C--2D--,2H,5!d-4!h 10-11 HCP
1CDb1D--1N--2C--2D--,2N,4-5!d; 10-11 HCP
1CDb1D--1N--2C--2D--,2S,5!d-4!s 10-11 HCP
