BBOalert
Error *00{WJ2000}=NYYYYYYWJ2000 - by Krzysztof Jassem|,20,000 - by Krzysztof Jassem
1C--1D--1N--2H--2S--,3S,
1C--1D--1N--2H--2S--,4C,splinter
1C--1D--1N--2H--2S--,4D,splinter
1C--1D--1N--2H--2S--,4H,splinter
1C--1D--1N--2H--,3S,max; good !s support; suit-oriented
1C--1D--1N--2H--3S--,3N,bal. slamtry
1C--1D--1N--2H--3S--,4C,splinter
1C--1D--1N--2H--3S--,4D,splinter
1C--1D--1N--2H--3S--,4H,splinter
1C--1D--1N--,2N,transfer to !d
1C--1D--1N--2N--,3C,good !d fit; usually Hxx or better
1C--1D--1N--2N--3C--,3D,signoff in !d
1C--1D--1N--2N--3C--,3H,6+!d; short !h
1C--1D--1N--2N--3C--,3N,gambling based on running the !d
1C--1D--1N--2N--3C--,3S,6+!d; short !s
1C--1D--1N--2N--3C--,4C,6+!d; short !c
1C--1D--1N--2N--3C--,--,was sign-off in !c; usually weak
1C--1D--1N--2N--,3D,no great !d fit
1C--1D--1N--2N--3D--,3H,6+!d; short !h
1C--1D--1N--2N--3D--,3N,quant. invite with !d
1C--1D--1N--2N--3D--,3S,6+!d; short !s
1C--1D--1N--2N--3D--,4C,6+!d; short !c
1C--1D--1N--2N--3D--,--,was sign-off in !c; usually weak
1C--1D--1N--,2S,either range-ask; or signoff in clubs
1C--1D--1N--2S--,2N,minimum
1C--1D--1N--2S--2N--,3C,usually weak
1C--1D--1N--2S--2N--,3D,6+!c; short !d
1C--1D--1N--2S--2N--,3H,6+!c; short !h
1C--1D--1N--2S--2N--,3N,quant. invite with clubs
1C--1D--1N--2S--2N--,3S,6+!c; short !s
1C--1D--1N--2S--,3C,maximum; says nothing about !c
1C--1D--1N--2S--3C--,3D,6+!c; short !d
1C--1D--1N--2S--3C--,3H,6+!c; short !h
1C--1D--1N--2S--3C--,3N,Please read chat#was an invite to 3N; no major usually; says nothing about !c
1C--1D--1N--2S--3C--,3S,6+!c; short !s
1C--1D--1N--2S--3C--,--,was sign-off in !c; usually weak
1C--1D--1N--,3C,5+!d with a 4-crd major; short !c
1C--1D--1N--3C--,3D,sets !d
1C--1D--1N--3C--,3H,
1C--1D--1N--3C--,3N,good !c stopper(s); bad for slam
1C--1D--1N--3C--,3S,denies 4!h
1C--1D--1N--,3D,5+!c with a 4-crd major; short in !d
1C--1D--1N--3D--,3H,
1C--1D--1N--3D--,3N,good !d stopper(s); bad for slam
1C--1D--1N--3D--,3S,denies 4!h
1C--1D--1N--3D--,4C,sets !c
1C--1D--1N--,3H,5-4+ minors; short !h
1C--1D--1N--3H--,3N,has good !h stopper(s)
1C--1D--1N--3H--,3S,4 good !s (occas. 5); suggests Moysian
1C--1D--1N--3H--,4C,sets !c
1C--1D--1N--3H--,4D,sets !d
1C--1D--1N--3H--,4H,Please read chat#4-4 minors; no !h stopper; best possible situation
1C--1D--1N--3H--,4N,Please read chat#4-4 minors; not suited for NT; but not great for slam
1C--1D--1N--,3S,5-4+ minors; short !s
1C--1D--1N--3S--,3N,!s well-stopped; bad for slam
1C--1D--1N--3S--,4C,sets !c
1C--1D--1N--3S--,4D,sets !d
1C--1D--1N--3S--,4H,suggests moysian !h game
1C--1D--1N--3S--,4N,Please read chat#4-4 minors; not suited for NT; but not great for slam
1C--1D--1N--3S--,4S,Please read chat#4-4 minors; no !s stopper; best possible situation
1C--1D--,1S,Please read chat#11-20; better major; if 12-14 could be 3 cards
1C--1D--1S--,1N,4-8 HCP
1C--1D--1S--,2C,about 5-10
1C--1D--1S--,2D,about 5-10
1C--1D--1S--,2H,4-6
1C--1D--1S--,2N,19+ NT; no M
1C--1D--1S--,2S,4-6
1C--1D--1S--,3C,9-11; not a good suit
1C--1D--1S--,3D,9-11; not a good suit
1C--1D--1S--,3N,17-18 NT; no M
1C--1D--,2C,15-20; no major if minimum
1C--1D--,2D,artif; GF
1C--1D--2D--,2H,double-negative; or waiting
1C--1D--2D--,2N,about 4-6
1C--1D--2D--,2S,usually has an honor in the suit
1C--1D--2D--,3C,usu. has an honor in the suit
1C--1D--2D--,3D,usu. has an honor in the suit
1C--1D--2D--,3H,good suit; nothing else
1C--1D--2D--,3S,good suit; nothing else
1C--1D--,2H,semi-forcing
1C--1D--,2N,22(21)-23(24) bal
1C--1D--2N--,3C,Stayman
1C--1D--2N--,3D,Jacoby transfer
1C--1D--2N--,3H,Jacoby transfer
1C--1D--2N--,3S,5+-4+ minors
1C--1D--2N--,4C,
1C--1D--2N--,4D,
1C--1D--,2S,semi-forcing
1C--1D--,3C,semi-forcing
1C--1D--,3D,semi-forcing
1C--1D--,3H,sets suit; demands cue Ace/King
1C--1D--,3N,Please read chat#to play based on long running minor; 15+ HCP
1C--1D--,3S,sets suit; demands cue Ace/King
1C--,1H,7+ HCP; may have a longer minor
1C--1H--,1N,12-14; no major
1C--1H--1N--,2C,Please read chat#Magister: game-interest checkback; or sign-off in !c
1C--1H--1N--2C--,2D,12-13(-); denies 3!h
1C--1H--1N--2C--2D--,2H,10-12; 5+!h
1C--1H--1N--2C--2D--,2N,GF waiting
1C--1H--1N--2C--2D--,2S,
1C--1H--1N--2C--2D--,3C,5+!c; weak
1C--1H--1N--2C--2D--,3D,
1C--1H--1N--2C--2D--,3H,
1C--1H--1N--2C--2D--,3S,
1C--1H--1N--2C--,2H,12-13(-); 3!h
1C--1H--1N--2C--2H--,2N,GF; waiting
1C--1H--1N--2C--2H--,2S,
1C--1H--1N--2C--2H--,3C,5+!c; weak
1C--1H--1N--2C--2H--,3D,
1C--1H--1N--2C--2H--,3S,
1C--1H--1N--2C--,2N,13(+)-14; 2!h
1C--1H--1N--2C--2N--,3C,5+!c; weak
1C--1H--1N--2C--,2S,13(+)-14; 3!h
