BBOalert
1C,1D,9-12HcP; 5+!D; NF
1C--1H--2N--4C--4N--5C--,5D,0/4 Kings
1C--1H--2N--4C--4N--5C--,5H,1 King
1C--1H--2N--4C--4N--5C--,5N,3 Kings
1C--1H--2N--4C--4N--5C--,5S,2 Kings
1C--1H--2N--4C--,4S,2 aces
1C--1H--2N--4C--4S--,4N,ASK kings
1C--1H--2N--4C--4S--4N--,5C,0/4 kings
1C--1H--2N--4C--4S--4N--,5D,1 King
1C--1H--2N--4C--4S--4N--,5H,2 Kings
1C--1H--2N--4C--4S--4N--,5S,3 Kings
1C--1H--2N--4C--4S--,5H,Signoff
1C--1H--2N--4C--4S--,5S,Signoff
1C--1H--2N--,4D,CAB
1C--1H--2N--4D--,4H,No control
1C--1H--2N--4D--,4N,1st round control
1C--1H--2N--4D--,4S,2nd round control
1C--1H--2N--4D--,5C,Double control
1C--1H--2N--,4H,Signoff
1C--1H--2N--,4S,Signoff
1C--1H--,2S,16-17HcP; 6+!S  +  4!C
1C--1H--2S--,3H,6+!H
1C--1H--2S--,3N,Signoff
1C--1H--2S--,4C,ASK aces
1C--1H--2S--4C--,4D,0/4 aces
1C--1H--2S--4C--4D--,4H,Signoff
1C--1H--2S--4C--4D--,4N,ASK kings
1C--1H--2S--4C--4D--4N--,5C,0/4 kings
1C--1H--2S--4C--4D--4N--,5D,1 King
1C--1H--2S--4C--4D--4N--,5H,2 Kings
1C--1H--2S--4C--4D--4N--,5S,3 Kings
1C--1H--2S--4C--4D--,4S,Signoff
1C--1H--2S--4C--,4H,1 ace
1C--1H--2S--4C--4H--,4N,ASK kings
1C--1H--2S--4C--4H--4N--,5C,0/4 kings
1C--1H--2S--4C--4H--4N--,5D,1 King
1C--1H--2S--4C--4H--4N--,5H,2 Kings
1C--1H--2S--4C--4H--4N--,5S,3 Kings
1C--1H--2S--4C--4H--,4S,Signoff
1C--1H--2S--4C--4H--,5H,Signoff
1C--1H--2S--4C--,4N,3 aces
1C--1H--2S--4C--4N--,5C,ASK Kings
1C--1H--2S--4C--4N--5C--,5D,0/4 Kings
1C--1H--2S--4C--4N--5C--,5H,1 King
1C--1H--2S--4C--4N--5C--,5N,3 Kings
1C--1H--2S--4C--4N--5C--,5S,2 Kings
1C--1H--2S--4C--,4S,2 aces
1C--1H--2S--4C--4S--,4N,ASK kings
1C--1H--2S--4C--4S--4N--,5C,0/4 kings
1C--1H--2S--4C--4S--4N--,5D,1 King
1C--1H--2S--4C--4S--4N--,5H,2 Kings
1C--1H--2S--4C--4S--4N--,5S,3 Kings
1C--1H--2S--4C--4S--,5H,Signoff
1C--1H--2S--4C--4S--,5S,Signoff
1C--1H--2S--,4D,CAB
1C--1H--2S--4D--,4H,No control
1C--1H--2S--4D--,4N,1st round control
1C--1H--2S--4D--,4S,2nd round control
1C--1H--2S--4D--,5C,Double control
1C--1H--2S--,4H,Signoff
1C--1H--2S--,4S,Signoff
1C--1H--2S--,--,To play
1C--1H--,3C,16-20HcP; 6+!C
1C--1H--3C--,3H,6+!H
1C--1H--3C--,3N,Signoff
1C--1H--3C--,3S,Signoff
1C--1H--3C--,4C,ASK aces
1C--1H--3C--4C--,4D,0/4 aces
1C--1H--3C--4C--4D--,4H,Signoff
1C--1H--3C--4C--4D--,4N,ASK kings
1C--1H--3C--4C--4D--4N--,5C,0/4 kings
1C--1H--3C--4C--4D--4N--,5D,1 King
1C--1H--3C--4C--4D--4N--,5H,2 Kings
1C--1H--3C--4C--4D--4N--,5S,3 Kings
1C--1H--3C--4C--4D--,4S,Signoff
1C--1H--3C--4C--,4H,1 ace
1C--1H--3C--4C--4H--,4N,ASK kings
1C--1H--3C--4C--4H--4N--,5C,0/4 kings
1C--1H--3C--4C--4H--4N--,5D,1 King
1C--1H--3C--4C--4H--4N--,5H,2 Kings
1C--1H--3C--4C--4H--4N--,5S,3 Kings
1C--1H--3C--4C--4H--,4S,Signoff
1C--1H--3C--4C--4H--,5H,Signoff
1C--1H--3C--4C--,4N,3 aces
1C--1H--3C--4C--4N--,5C,ASK Kings
1C--1H--3C--4C--4N--5C--,5D,0/4 Kings
1C--1H--3C--4C--4N--5C--,5H,1 King
1C--1H--3C--4C--4N--5C--,5N,3 Kings
1C--1H--3C--4C--4N--5C--,5S,2 Kings
1C--1H--3C--4C--,4S,2 aces
1C--1H--3C--4C--4S--,4N,ASK kings
1C--1H--3C--4C--4S--4N--,5C,0/4 kings
1C--1H--3C--4C--4S--4N--,5D,1 King
1C--1H--3C--4C--4S--4N--,5H,2 Kings
1C--1H--3C--4C--4S--4N--,5S,3 Kings
1C--1H--3C--4C--4S--,5H,Signoff
1C--1H--3C--4C--4S--,5S,Signoff
1C--1H--3C--,4D,CAB
1C--1H--3C--4D--,4H,No control
1C--1H--3C--4D--,4N,1st round control
1C--1H--3C--4D--,4S,2nd round control
1C--1H--3C--4D--,5C,Double control
1C--1H--3C--,4H,Signoff
1C--1H--3C--,4N,Blackwood 03/14
1C--1H--3C--,4S,Signoff
1C--1H--,3D,16-20HcP; 6+!D
1C--1H--3D--,3H,6+!H
1C--1H--3D--,3N,Signoff
1C--1H--3D--,3S,Signoff
1C--1H--3D--,4C,ASK aces
1C--1H--3D--4C--,4D,0/4 aces
1C--1H--3D--4C--4D--,4H,Signoff
1C--1H--3D--4C--4D--,4N,ASK kings
1C--1H--3D--4C--4D--4N--,5C,0/4 kings
1C--1H--3D--4C--4D--4N--,5D,1 King
1C--1H--3D--4C--4D--4N--,5H,2 Kings
1C--1H--3D--4C--4D--4N--,5S,3 Kings
1C--1H--3D--4C--4D--,4S,Signoff
1C--1H--3D--4C--,4H,1 ace
1C--1H--3D--4C--4H--,4N,ASK kings
1C--1H--3D--4C--4H--4N--,5C,0/4 kings
1C--1H--3D--4C--4H--4N--,5D,1 King
1C--1H--3D--4C--4H--4N--,5H,2 Kings
1C--1H--3D--4C--4H--4N--,5S,3 Kings
1C--1H--3D--4C--4H--,4S,Signoff
1C--1H--3D--4C--4H--,5H,Signoff
1C--1H--3D--4C--,4N,3 aces
1C--1H--3D--4C--4N--,5C,ASK Kings
1C--1H--3D--4C--4N--5C--,5D,0/4 Kings
1C--1H--3D--4C--4N--5C--,5H,1 King
1C--1H--3D--4C--4N--5C--,5N,3 Kings
1C--1H--3D--4C--4N--5C--,5S,2 Kings
1C--1H--3D--4C--,4S,2 aces
1C--1H--3D--4C--4S--,4N,ASK kings
1C--1H--3D--4C--4S--4N--,5C,0/4 kings
1C--1H--3D--4C--4S--4N--,5D,1 King
1C--1H--3D--4C--4S--4N--,5H,2 Kings
1C--1H--3D--4C--4S--4N--,5S,3 Kings
1C--1H--3D--4C--4S--,5H,Signoff
1C--1H--3D--4C--4S--,5S,Signoff
1C--1H--3D--,4D,CAB
1C--1H--3D--4D--,4H,No control
1C--1H--3D--4D--,4N,1st round control
1C--1H--3D--4D--,4S,2nd round control
1C--1H--3D--4D--,5C,Double control
1C--1H--3D--,4H,Signoff
1C--1H--3D--,4N,Blackwood 03/14
1C--1H--3D--,4S,Signoff
1C--1H--,3H,16-20HcP; 6+!H  +  4!C
1C--1H--3H--,3N,Signoff
1C--1H--3H--,3S,Signoff
1C--1H--3H--,4C,ASK aces
1C--1H--3H--4C--,4D,0/4 aces
1C--1H--3H--4C--4D--,4H,Signoff
1C--1H--3H--4C--4D--,4N,ASK kings
1C--1H--3H--4C--4D--4N--,5C,0/4 kings
1C--1H--3H--4C--4D--4N--,5D,1 King
1C--1H--3H--4C--4D--4N--,5H,2 Kings
1C--1H--3H--4C--4D--4N--,5S,3 Kings
1C--1H--3H--4C--4D--,4S,Signoff
1C--1H--3H--4C--,4H,1 ace
1C--1H--3H--4C--4H--,4N,ASK kings
1C--1H--3H--4C--4H--4N--,5C,0/4 kings
1C--1H--3H--4C--4H--4N--,5D,1 King
1C--1H--3H--4C--4H--4N--,5H,2 Kings
1C--1H--3H--4C--4H--4N--,5S,3 Kings
1C--1H--3H--4C--4H--,4S,Signoff
1C--1H--3H--4C--4H--,5H,Signoff
1C--1H--3H--4C--,4N,3 aces
1C--1H--3H--4C--4N--,5C,ASK Kings
1C--1H--3H--4C--4N--5C--,5D,0/4 Kings
1C--1H--3H--4C--4N--5C--,5H,1 King
1C--1H--3H--4C--4N--5C--,5N,3 Kings
1C--1H--3H--4C--4N--5C--,5S,2 Kings
1C--1H--3H--4C--,4S,2 aces
1C--1H--3H--4C--4S--,4N,ASK kings
1C--1H--3H--4C--4S--4N--,5C,0/4 kings
1C--1H--3H--4C--4S--4N--,5D,1 King
1C--1H--3H--4C--4S--4N--,5H,2 Kings
1C--1H--3H--4C--4S--4N--,5S,3 Kings
1C--1H--3H--4C--4S--,5H,Signoff
1C--1H--3H--4C--4S--,5S,Signoff
1C--1H--3H--,4D,CAB
1C--1H--3H--4D--,4H,No control
1C--1H--3H--4D--,4N,1st round control
1C--1H--3H--4D--,4S,2nd round control
1C--1H--3H--4D--,5C,Double control
1C--1H--3H--,4H,Signoff
1C--1H--3H--,4N,Blackwood 03/14
1C--1H--3H--,4S,Signoff
1C--1H--,3S,18-20HcP; 6+!S  +  4!C
1C--1H--3S--,3N,Signoff
1C--1H--3S--,4C,ASK aces
1C--1H--3S--4C--,4D,0/4 aces
1C--1H--3S--4C--4D--,4H,Signoff
1C--1H--3S--4C--4D--,4N,ASK kings
1C--1H--3S--4C--4D--4N--,5C,0/4 kings
1C--1H--3S--4C--4D--4N--,5D,1 King
1C--1H--3S--4C--4D--4N--,5H,2 Kings
1C--1H--3S--4C--4D--4N--,5S,3 Kings
1C--1H--3S--4C--4D--,4S,Signoff
1C--1H--3S--4C--,4H,1 ace
1C--1H--3S--4C--4H--,4N,ASK kings
1C--1H--3S--4C--4H--4N--,5C,0/4 kings
1C--1H--3S--4C--4H--4N--,5D,1 King
1C--1H--3S--4C--4H--4N--,5H,2 Kings
1C--1H--3S--4C--4H--4N--,5S,3 Kings
1C--1H--3S--4C--4H--,4S,Signoff
1C--1H--3S--4C--4H--,5H,Signoff
1C--1H--3S--4C--,4N,3 aces
1C--1H--3S--4C--4N--,5C,ASK Kings
1C--1H--3S--4C--4N--5C--,5D,0/4 Kings
1C--1H--3S--4C--4N--5C--,5H,1 King
1C--1H--3S--4C--4N--5C--,5N,3 Kings
1C--1H--3S--4C--4N--5C--,5S,2 Kings
1C--1H--3S--4C--,4S,2 aces
1C--1H--3S--4C--4S--,4N,ASK kings
1C--1H--3S--4C--4S--4N--,5C,0/4 kings
1C--1H--3S--4C--4S--4N--,5D,1 King
1C--1H--3S--4C--4S--4N--,5H,2 Kings
1C--1H--3S--4C--4S--4N--,5S,3 Kings
1C--1H--3S--4C--4S--,5H,Signoff
1C--1H--3S--4C--4S--,5S,Signoff
1C--1H--3S--,4D,CAB
1C--1H--3S--4D--,4H,No control
1C--1H--3S--4D--,4N,1st round control
1C--1H--3S--4D--,4S,2nd round control
1C--1H--3S--4D--,5C,Double control
1C--1H--3S--,4H,Signoff
1C--1H--3S--,4N,Blackwood 03/14
1C--1H--3S--,4S,Signoff
1C--,1N,8-10HcP; bal
1C--1NDb,2C,12-15HcP; 6+!C
1C--1NDb2C--,2N,Signoff
1C--1NDb2C--,2S,6+!S; Signoff
1C--1NDb2C--,3C,ASK stop
1C--1NDb2C--3C--,3D,No stop
1C--1NDb2C--3C--3D--,3H,Signoff
1C--1NDb2C--3C--3D--,3N,Signoff
1C--1NDb2C--3C--3D--,3S,Signoff
1C--1NDb2C--3C--3D--,4C,ASK aces
1C--1NDb2C--3C--3D--4C--,4D,0/4 aces
1C--1NDb2C--3C--3D--4C--4D--,4H,Signoff
1C--1NDb2C--3C--3D--4C--4D--,4N,ASK kings
1C--1NDb2C--3C--3D--4C--4D--4N--,5C,0/4 kings
1C--1NDb2C--3C--3D--4C--4D--4N--,5D,1 King
1C--1NDb2C--3C--3D--4C--4D--4N--,5H,2 Kings
1C--1NDb2C--3C--3D--4C--4D--4N--,5S,3 Kings
1C--1NDb2C--3C--3D--4C--4D--,4S,Signoff
1C--1NDb2C--3C--3D--4C--,4H,1 ace
1C--1NDb2C--3C--3D--4C--4H--,4N,ASK kings
1C--1NDb2C--3C--3D--4C--4H--4N--,5C,0/4 kings
1C--1NDb2C--3C--3D--4C--4H--4N--,5D,1 King
1C--1NDb2C--3C--3D--4C--4H--4N--,5H,2 Kings
1C--1NDb2C--3C--3D--4C--4H--4N--,5S,3 Kings
1C--1NDb2C--3C--3D--4C--4H--,4S,Signoff
1C--1NDb2C--3C--3D--4C--4H--,5H,Signoff
1C--1NDb2C--3C--3D--4C--,4N,3 aces
1C--1NDb2C--3C--3D--4C--4N--,5C,ASK Kings
1C--1NDb2C--3C--3D--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2C--3C--3D--4C--4N--5C--,5H,1 King
1C--1NDb2C--3C--3D--4C--4N--5C--,5N,3 Kings
1C--1NDb2C--3C--3D--4C--4N--5C--,5S,2 Kings
1C--1NDb2C--3C--3D--4C--,4S,2 aces
1C--1NDb2C--3C--3D--4C--4S--,4N,ASK kings
1C--1NDb2C--3C--3D--4C--4S--4N--,5C,0/4 kings
1C--1NDb2C--3C--3D--4C--4S--4N--,5D,1 King
1C--1NDb2C--3C--3D--4C--4S--4N--,5H,2 Kings
1C--1NDb2C--3C--3D--4C--4S--4N--,5S,3 Kings
1C--1NDb2C--3C--3D--4C--4S--,5H,Signoff
1C--1NDb2C--3C--3D--4C--4S--,5S,Signoff
1C--1NDb2C--3C--3D--,4D,CAB
1C--1NDb2C--3C--3D--4D--,4H,No control
1C--1NDb2C--3C--3D--4D--,4N,1st round control
1C--1NDb2C--3C--3D--4D--,4S,2nd round control
1C--1NDb2C--3C--3D--4D--,5C,Double control
1C--1NDb2C--3C--3D--,4H,Signoff
1C--1NDb2C--3C--3D--,4S,Signoff
1C--1NDb2C--3C--3D--,5C,Signoff
1C--1NDb2C--3C--3D--,--,To play
1C--1NDb2C--3C--,3H,No stop
1C--1NDb2C--3C--3H--,3N,Signoff
1C--1NDb2C--3C--3H--,4C,ASK aces
1C--1NDb2C--3C--3H--4C--,4D,0/4 aces
1C--1NDb2C--3C--3H--4C--4D--,4H,Signoff
1C--1NDb2C--3C--3H--4C--4D--,4N,ASK kings
1C--1NDb2C--3C--3H--4C--4D--4N--,5C,0/4 kings
1C--1NDb2C--3C--3H--4C--4D--4N--,5D,1 King
1C--1NDb2C--3C--3H--4C--4D--4N--,5H,2 Kings
1C--1NDb2C--3C--3H--4C--4D--4N--,5S,3 Kings
1C--1NDb2C--3C--3H--4C--4D--,4S,Signoff
1C--1NDb2C--3C--3H--4C--,4H,1 ace
1C--1NDb2C--3C--3H--4C--4H--,4N,ASK kings
1C--1NDb2C--3C--3H--4C--4H--4N--,5C,0/4 kings
1C--1NDb2C--3C--3H--4C--4H--4N--,5D,1 King
1C--1NDb2C--3C--3H--4C--4H--4N--,5H,2 Kings
1C--1NDb2C--3C--3H--4C--4H--4N--,5S,3 Kings
1C--1NDb2C--3C--3H--4C--4H--,4S,Signoff
1C--1NDb2C--3C--3H--4C--4H--,5H,Signoff
1C--1NDb2C--3C--3H--4C--,4N,3 aces
1C--1NDb2C--3C--3H--4C--4N--,5C,ASK Kings
1C--1NDb2C--3C--3H--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2C--3C--3H--4C--4N--5C--,5H,1 King
1C--1NDb2C--3C--3H--4C--4N--5C--,5N,3 Kings
1C--1NDb2C--3C--3H--4C--4N--5C--,5S,2 Kings
1C--1NDb2C--3C--3H--4C--,4S,2 aces
1C--1NDb2C--3C--3H--4C--4S--,4N,ASK kings
1C--1NDb2C--3C--3H--4C--4S--4N--,5C,0/4 kings
1C--1NDb2C--3C--3H--4C--4S--4N--,5D,1 King
1C--1NDb2C--3C--3H--4C--4S--4N--,5H,2 Kings
1C--1NDb2C--3C--3H--4C--4S--4N--,5S,3 Kings
1C--1NDb2C--3C--3H--4C--4S--,5H,Signoff
1C--1NDb2C--3C--3H--4C--4S--,5S,Signoff
1C--1NDb2C--3C--3H--,4D,CAB
1C--1NDb2C--3C--3H--4D--,4H,No control
1C--1NDb2C--3C--3H--4D--,4N,1st round control
1C--1NDb2C--3C--3H--4D--,4S,2nd round control
1C--1NDb2C--3C--3H--4D--,5C,Double control
1C--1NDb2C--3C--3H--,4H,Signoff
1C--1NDb2C--3C--3H--,4S,Signoff
1C--1NDb2C--3C--3H--,5C,Signoff
1C--1NDb2C--3C--3H--,--,To play
1C--1NDb2C--3C--,3N,Signoff
1C--1NDb2C--3C--,3S,No stop
1C--1NDb2C--3C--3S--,3N,Signoff
1C--1NDb2C--3C--3S--,4C,ASK aces
1C--1NDb2C--3C--3S--4C--,4D,0/4 aces
1C--1NDb2C--3C--3S--4C--4D--,4H,Signoff
1C--1NDb2C--3C--3S--4C--4D--,4N,ASK kings
1C--1NDb2C--3C--3S--4C--4D--4N--,5C,0/4 kings
1C--1NDb2C--3C--3S--4C--4D--4N--,5D,1 King
1C--1NDb2C--3C--3S--4C--4D--4N--,5H,2 Kings
1C--1NDb2C--3C--3S--4C--4D--4N--,5S,3 Kings
1C--1NDb2C--3C--3S--4C--4D--,4S,Signoff
1C--1NDb2C--3C--3S--4C--,4H,1 ace
1C--1NDb2C--3C--3S--4C--4H--,4N,ASK kings
1C--1NDb2C--3C--3S--4C--4H--4N--,5C,0/4 kings
1C--1NDb2C--3C--3S--4C--4H--4N--,5D,1 King
1C--1NDb2C--3C--3S--4C--4H--4N--,5H,2 Kings
1C--1NDb2C--3C--3S--4C--4H--4N--,5S,3 Kings
1C--1NDb2C--3C--3S--4C--4H--,4S,Signoff
1C--1NDb2C--3C--3S--4C--4H--,5H,Signoff
1C--1NDb2C--3C--3S--4C--,4N,3 aces
1C--1NDb2C--3C--3S--4C--4N--,5C,ASK Kings
1C--1NDb2C--3C--3S--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2C--3C--3S--4C--4N--5C--,5H,1 King
1C--1NDb2C--3C--3S--4C--4N--5C--,5N,3 Kings
1C--1NDb2C--3C--3S--4C--4N--5C--,5S,2 Kings
1C--1NDb2C--3C--3S--4C--,4S,2 aces
1C--1NDb2C--3C--3S--4C--4S--,4N,ASK kings
1C--1NDb2C--3C--3S--4C--4S--4N--,5C,0/4 kings
1C--1NDb2C--3C--3S--4C--4S--4N--,5D,1 King
1C--1NDb2C--3C--3S--4C--4S--4N--,5H,2 Kings
1C--1NDb2C--3C--3S--4C--4S--4N--,5S,3 Kings
1C--1NDb2C--3C--3S--4C--4S--,5H,Signoff
1C--1NDb2C--3C--3S--4C--4S--,5S,Signoff
1C--1NDb2C--3C--3S--,4D,CAB
1C--1NDb2C--3C--3S--4D--,4H,No control
1C--1NDb2C--3C--3S--4D--,4N,1st round control
1C--1NDb2C--3C--3S--4D--,4S,2nd round control
1C--1NDb2C--3C--3S--4D--,5C,Double control
1C--1NDb2C--3C--3S--,4H,Signoff
1C--1NDb2C--3C--3S--,4S,Signoff
1C--1NDb2C--3C--3S--,5C,Signoff
1C--1NDb2C--3C--3S--,--,To play
1C--1NDb2C--,3N,Signoff
1C--1NDb2C--,3S,Preempt
1C--1NDb2C--,4C,ASK aces
1C--1NDb2C--4C--,4D,0/4 aces
1C--1NDb2C--4C--4D--,4H,Signoff
1C--1NDb2C--4C--4D--,4N,ASK kings
1C--1NDb2C--4C--4D--4N--,5C,0/4 kings
1C--1NDb2C--4C--4D--4N--,5D,1 King
1C--1NDb2C--4C--4D--4N--,5H,2 Kings
1C--1NDb2C--4C--4D--4N--,5S,3 Kings
1C--1NDb2C--4C--4D--,4S,Signoff
1C--1NDb2C--4C--,4H,1 ace
1C--1NDb2C--4C--4H--,4N,ASK kings
1C--1NDb2C--4C--4H--4N--,5C,0/4 kings
1C--1NDb2C--4C--4H--4N--,5D,1 King
1C--1NDb2C--4C--4H--4N--,5H,2 Kings
1C--1NDb2C--4C--4H--4N--,5S,3 Kings
1C--1NDb2C--4C--4H--,4S,Signoff
1C--1NDb2C--4C--4H--,5H,Signoff
1C--1NDb2C--4C--,4N,3 aces
1C--1NDb2C--4C--4N--,5C,ASK Kings
1C--1NDb2C--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2C--4C--4N--5C--,5H,1 King
1C--1NDb2C--4C--4N--5C--,5N,3 Kings
1C--1NDb2C--4C--4N--5C--,5S,2 Kings
1C--1NDb2C--4C--,4S,2 aces
1C--1NDb2C--4C--4S--,4N,ASK kings
1C--1NDb2C--4C--4S--4N--,5C,0/4 kings
1C--1NDb2C--4C--4S--4N--,5D,1 King
1C--1NDb2C--4C--4S--4N--,5H,2 Kings
1C--1NDb2C--4C--4S--4N--,5S,3 Kings
1C--1NDb2C--4C--4S--,5H,Signoff
1C--1NDb2C--4C--4S--,5S,Signoff
1C--1NDb2C--,4D,CAB
1C--1NDb2C--4D--,4H,No control
1C--1NDb2C--4D--,4N,1st round control
1C--1NDb2C--4D--,4S,2nd round control
1C--1NDb2C--4D--,5C,Double control
1C--1NDb2C--,4H,Signoff
1C--1NDb2C--,4S,Signoff
1C--1NDb2C--,5C,Signoff
1C--1NDb2C--,--,To play
1C--1NDb,2D,12-15HcP; 6+!D
1C--1NDb2D--,2N,Signoff
1C--1NDb2D--,2S,6+!S; Signoff
1C--1NDb2D--,3D,ASK stop
1C--1NDb2D--3D--,3H,No stop
1C--1NDb2D--3D--3H--,3N,Signoff
1C--1NDb2D--3D--3H--,4C,ASK aces
1C--1NDb2D--3D--3H--4C--,4D,0/4 aces
1C--1NDb2D--3D--3H--4C--4D--,4H,Signoff
1C--1NDb2D--3D--3H--4C--4D--,4N,ASK kings
1C--1NDb2D--3D--3H--4C--4D--4N--,5C,0/4 kings
1C--1NDb2D--3D--3H--4C--4D--4N--,5D,1 King
1C--1NDb2D--3D--3H--4C--4D--4N--,5H,2 Kings
1C--1NDb2D--3D--3H--4C--4D--4N--,5S,3 Kings
1C--1NDb2D--3D--3H--4C--4D--,4S,Signoff
1C--1NDb2D--3D--3H--4C--,4H,1 ace
1C--1NDb2D--3D--3H--4C--4H--,4N,ASK kings
1C--1NDb2D--3D--3H--4C--4H--4N--,5C,0/4 kings
1C--1NDb2D--3D--3H--4C--4H--4N--,5D,1 King
1C--1NDb2D--3D--3H--4C--4H--4N--,5H,2 Kings
1C--1NDb2D--3D--3H--4C--4H--4N--,5S,3 Kings
1C--1NDb2D--3D--3H--4C--4H--,4S,Signoff
1C--1NDb2D--3D--3H--4C--4H--,5H,Signoff
1C--1NDb2D--3D--3H--4C--,4N,3 aces
1C--1NDb2D--3D--3H--4C--4N--,5C,ASK Kings
1C--1NDb2D--3D--3H--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2D--3D--3H--4C--4N--5C--,5H,1 King
1C--1NDb2D--3D--3H--4C--4N--5C--,5N,3 Kings
1C--1NDb2D--3D--3H--4C--4N--5C--,5S,2 Kings
1C--1NDb2D--3D--3H--4C--,4S,2 aces
1C--1NDb2D--3D--3H--4C--4S--,4N,ASK kings
1C--1NDb2D--3D--3H--4C--4S--4N--,5C,0/4 kings
1C--1NDb2D--3D--3H--4C--4S--4N--,5D,1 King
1C--1NDb2D--3D--3H--4C--4S--4N--,5H,2 Kings
1C--1NDb2D--3D--3H--4C--4S--4N--,5S,3 Kings
1C--1NDb2D--3D--3H--4C--4S--,5H,Signoff
1C--1NDb2D--3D--3H--4C--4S--,5S,Signoff
1C--1NDb2D--3D--3H--,4D,Signoff
1C--1NDb2D--3D--3H--,4H,Signoff
1C--1NDb2D--3D--3H--,4N,Blackwood 03/14
1C--1NDb2D--3D--3H--,4S,Signoff
1C--1NDb2D--3D--3H--,--,To play
1C--1NDb2D--3D--,3N,Signoff
1C--1NDb2D--3D--,3S,No stop
1C--1NDb2D--3D--3S--,3N,Signoff
1C--1NDb2D--3D--3S--,4C,ASK aces
1C--1NDb2D--3D--3S--4C--,4D,0/4 aces
1C--1NDb2D--3D--3S--4C--4D--,4H,Signoff
1C--1NDb2D--3D--3S--4C--4D--,4N,ASK kings
1C--1NDb2D--3D--3S--4C--4D--4N--,5C,0/4 kings
1C--1NDb2D--3D--3S--4C--4D--4N--,5D,1 King
1C--1NDb2D--3D--3S--4C--4D--4N--,5H,2 Kings
1C--1NDb2D--3D--3S--4C--4D--4N--,5S,3 Kings
1C--1NDb2D--3D--3S--4C--4D--,4S,Signoff
1C--1NDb2D--3D--3S--4C--,4H,1 ace
1C--1NDb2D--3D--3S--4C--4H--,4N,ASK kings
1C--1NDb2D--3D--3S--4C--4H--4N--,5C,0/4 kings
1C--1NDb2D--3D--3S--4C--4H--4N--,5D,1 King
1C--1NDb2D--3D--3S--4C--4H--4N--,5H,2 Kings
1C--1NDb2D--3D--3S--4C--4H--4N--,5S,3 Kings
1C--1NDb2D--3D--3S--4C--4H--,4S,Signoff
1C--1NDb2D--3D--3S--4C--4H--,5H,Signoff
1C--1NDb2D--3D--3S--4C--,4N,3 aces
1C--1NDb2D--3D--3S--4C--4N--,5C,ASK Kings
1C--1NDb2D--3D--3S--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2D--3D--3S--4C--4N--5C--,5H,1 King
1C--1NDb2D--3D--3S--4C--4N--5C--,5N,3 Kings
1C--1NDb2D--3D--3S--4C--4N--5C--,5S,2 Kings
1C--1NDb2D--3D--3S--4C--,4S,2 aces
1C--1NDb2D--3D--3S--4C--4S--,4N,ASK kings
1C--1NDb2D--3D--3S--4C--4S--4N--,5C,0/4 kings
1C--1NDb2D--3D--3S--4C--4S--4N--,5D,1 King
1C--1NDb2D--3D--3S--4C--4S--4N--,5H,2 Kings
1C--1NDb2D--3D--3S--4C--4S--4N--,5S,3 Kings
1C--1NDb2D--3D--3S--4C--4S--,5H,Signoff
1C--1NDb2D--3D--3S--4C--4S--,5S,Signoff
1C--1NDb2D--3D--3S--,4D,Signoff
1C--1NDb2D--3D--3S--,4H,Signoff
1C--1NDb2D--3D--3S--,4N,Blackwood 03/14
1C--1NDb2D--3D--3S--,4S,Signoff
1C--1NDb2D--3D--3S--,5D,Signoff
1C--1NDb2D--3D--3S--,--,To play
1C--1NDb2D--,3N,Signoff
1C--1NDb2D--,4C,ASK aces
1C--1NDb2D--4C--,4D,0/4 aces
1C--1NDb2D--4C--4D--,4H,Signoff
1C--1NDb2D--4C--4D--,4N,ASK kings
1C--1NDb2D--4C--4D--4N--,5C,0/4 kings
1C--1NDb2D--4C--4D--4N--,5D,1 King
1C--1NDb2D--4C--4D--4N--,5H,2 Kings
1C--1NDb2D--4C--4D--4N--,5S,3 Kings
1C--1NDb2D--4C--4D--,4S,Signoff
1C--1NDb2D--4C--,4H,1 ace
1C--1NDb2D--4C--4H--,4N,ASK kings
1C--1NDb2D--4C--4H--4N--,5C,0/4 kings
1C--1NDb2D--4C--4H--4N--,5D,1 King
1C--1NDb2D--4C--4H--4N--,5H,2 Kings
1C--1NDb2D--4C--4H--4N--,5S,3 Kings
1C--1NDb2D--4C--4H--,4S,Signoff
1C--1NDb2D--4C--4H--,5H,Signoff
1C--1NDb2D--4C--,4N,3 aces
1C--1NDb2D--4C--4N--,5C,ASK Kings
1C--1NDb2D--4C--4N--5C--,5D,0/4 Kings
1C--1NDb2D--4C--4N--5C--,5H,1 King
1C--1NDb2D--4C--4N--5C--,5N,3 Kings
1C--1NDb2D--4C--4N--5C--,5S,2 Kings
1C--1NDb2D--4C--,4S,2 aces
1C--1NDb2D--4C--4S--,4N,ASK kings
1C--1NDb2D--4C--4S--4N--,5C,0/4 kings
1C--1NDb2D--4C--4S--4N--,5D,1 King
1C--1NDb2D--4C--4S--4N--,5H,2 Kings
1C--1NDb2D--4C--4S--4N--,5S,3 Kings
1C--1NDb2D--4C--4S--,5H,Signoff
