BBOalert
1N----2DDb2S--2N--,3C,ASK MAJOR
1N----2DDb2S--2N--3C--,3D,6!H; No short
1N----2DDb2S--2N--3C--,3H,6!H; 0-1!S
1N----2DDb2S--2N--3C--,3N,6!S; 0-1!H
1N----2DDb2S--2N--3C--,3S,6!S; No short
1N----2DDb2S--,3C,6!S; 0-1!C
1N----2DDb2S--,3D,6!H; 0-1!D
1N----2DDb2S--,3H,6!H; 0-1!C
1N----2DDb2S--,3S,6!S; 0-1!D
1N----2DDb,3D,Invite + fit
1N----2DDb,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1N----2DDb,4C,Give a trans
1N----2DDb4C--,4D,Trans -> !H
1N----2DDb4C--,4H,Trans -> !S
1N----2DDb,4D,Bid your suit
1N----2DDb4D--,4H,6!H; Signoff
1N----2DDb4D--,4S,6!S; Signoff
1N----2D--,2H,Pass/correct
1N----2D--,2N,ASK strength incl. fit
1N----2D--2N--,3C,MAXIMUM; bad suit
1N----2D--2N--,3D,Good suit
1N----2D--2N--,3H,6!H; weak
1N----2D--2N--,3N,Solid MAJOR
1N----2D--2N--,3S,6!S; weak
1N----2D--,2S,ASK short; No fit needed
1N----2D--2S--,2N,No short or short other MAJOR
1N----2D--2S--2N--,3C,ASK MAJOR
1N----2D--2S--2N--3C--,3D,6!H; No short
1N----2D--2S--2N--3C--,3H,6!H; 0-1!S
1N----2D--2S--2N--3C--,3N,6!S; 0-1!H
1N----2D--2S--2N--3C--,3S,6!S; No short
1N----2D--2S--,3C,6!S; 0-1!C
1N----2D--2S--,3D,6!H; 0-1!D
1N----2D--2S--,3H,6!H; 0-1!C
1N----2D--2S--,3S,6!S; 0-1!D
1N----2D--,3D,Invite + fit
1N----2D--,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1N----2D--,4C,Give a trans
1N----2D--4C--,4D,Trans -> !H
1N----2D--4C--,4H,Trans -> !S
1N----2D--,4D,Bid your suit
1N----2D--4D--,4H,6!H; Signoff
1N----2D--4D--,4S,6!S; Signoff
1N----,2H,4+!H  +  5card minor
1N----,2N,Minors
1N----,2S,4+!S  +  5card minor
1N----,Db,13+HcP; ANY
1S,1N,8-15HcP; 4!H   +   a 5+card minor
1S,2C,8-15HcP; 6+!C; NF
1S,2D,8-15HcP; 6+!D; NF
1S,2H,8-15HcP; 6+!H; NF
1S,2N,2 lowest unbid
1S,2S,Michael's CUE
1S,3S,GF; ANY
1S,Db,Takeout
1S----,1H,11-16HcP; 5+!H; good hand
1S----,1S,11-16HcP; 5+!S; good hand
1S----,2C,11-16HcP; 5+!C; good hand
1S----,2D,11-16HcP; 5+!D; good hand
1S----,2H,11-16HcP; 5+!H; good hand
2C,2D,5+!D
2C,2H,5+!H
2C,2N,ANY 2-suiter
2C,2S,5+!S
2C,Db,5+!C
2D,Db,Takeout
2H,Db,Takeout
2N,Db,Takeout
2S,Db,Takeout
3C,Db,Takeout
3D,Db,Takeout
3H,Db,Takeout
3N,Db,Takeout
3S,Db,Takeout
Error *00{Polish Club}=NYYYYYY--------- Cesary Balicki / Adam Zmudzinski  --------- 1!C=Multi. Mostly 12-15HcP,bal, 1!D=11-18HcP,4+!D, 1!H!S=11-18HcP, 5+cards, 1NT=15-17HcP,bal, 2!C=11-16HcP, 5+!C, 2!D=6-11HcP, 6+!H/6+!S,                                         2!H=5!H + a suit, 2!S=5!S + a minor,                 2NT=6-11HcP, 4!C!D=Namyats                               ---------------------- Conventions ---------------------- Stayman, Namyats, RKCB 14/03, Gerber         --------------   www.bridgeFILES.net   ----------------|,--,Please read chat#--------- Cesary Balicki / Adam Zmudzinski  --------- 1!C
1N2C,2D,5+!D; NF
1N2C,2H,5+!H; NF
1N2C,2N,*Weak !C   *GF any; No stop
1N2C2N--,3C,Relay
1N2C2N--3C--,3D,A MAJOR; No stop
1N2C2N--3C--3D--,3H,4!H
1N2C2N--3C--3D--,3N,Stop OK
1N2C2N--3C--3D--,3S,4!S
1N2C2N--3C--3D--,4C,4!H + 4!S
1N2C2N--3C--,--,To play
1N2C,2S,5+!S; NF
1N2C,3C,ASK stop
1N2C3C--,3D,No stop
1N2C3C--,3N,Stop OK
1N2C,3D,5+!D; Invite
1N2C,3H,5+!H; Invite
1N2C,3N,Signoff
1N2C,3S,5+!S; Invite
1N2C,4D,Trans -> !H
1N2C,4H,Trans -> !S
1N2C,Db,Sputnik; No rebid promised
1N2C,--,To play
1N2D,2H,5+!H; NF
1N2D,2N,*Weak !C   *GF any; No stop
1N2D2N--,3C,Relay
1N2D2N--3C--,3D,A MAJOR; No stop
1N2D2N--3C--3D--,3H,4!H
1N2D2N--3C--3D--,3N,Stop OK
1N2D2N--3C--3D--,3S,4!S
1N2D2N--3C--3D--,4C,4!H + 4!S
1N2D2N--3C--,--,To play
1N2D,2S,5+!S; NF
1N2D,3C,5+!C; NF
1N2D,3D,ASK stop
1N2D3D--,3H,No stop
1N2D3D--,3N,Stop OK
1N2D,3H,5+!H; Invite
1N2D,3N,Signoff
1N2D,3S,5+!S; Invite
1N2D,4C,5+!C; Invite
1N2D,4D,Trans -> !H
1N2D,4H,Trans -> !S
1N2D,Db,Sputnik; No rebid promised
1N2D,--,To play
1N2H,2N,*Weak minor   *GF any; No stop
1N2H2N--,3C,Relay
1N2H2N--3C--,3D,Signoff
1N2H2N--3C--,3H,4!S; No stop
1N2H2N--3C--,3N,4!S + stop
1N2H2N--3C--,3S,5!S; GF
1N2H2N--3C--,4H,Trans -> !S
1N2H2N--3C--,--,To play
1N2H,2S,5+!S; NF
1N2H,3C,6+!C; Invite
1N2H,3D,6+!D; Invite
1N2H,3H,ASK stop
1N2H3H--,3N,Stop OK
1N2H3H--,3S,No stop
1N2H,3N,Signoff
1N2H,3S,5+!S; Invite
1N2H,4H,Trans -> !S
1N2H,Db,Penalty
1N2H,--,To play
1N2S,2N,*Weak minor   *GF any; No stop
1N2S2N--,3C,Relay
1N2S2N--3C--,3D,Signoff
1N2S2N--3C--,3H,5!H; GF
1N2S2N--3C--,3N,4!H + stop
1N2S2N--3C--,3S,4!H; No stop
1N2S2N--3C--,4D,Trans -> !H
1N2S2N--3C--,--,To play
1N2S,3C,6+!C; Invite
1N2S,3D,6+!D; Invite
1N2S,3H,5+!H; Invite
1N2S,3N,Signoff
1N2S,3S,ASK stop
1N2S3S--,3N,Stop OK
1N2S3S--,4C,No stop
1N2S,4D,Trans -> !H
1N2S,Db,Penalty
1N2S,--,To play
,1N,15-17HcP; Semi-balanced
1NDb,2C,6+!C; NF
1NDb,2D,6+!D; NF
1NDb,2H,5+!H; NF
1NDb2N3C,Db,ASK distrib
1NDb2N3CDb--,3D,!D + !H
1NDb2N3CDb--,3H,!H + !S
1NDb2N3CDb--,3N,!C + !D
1NDb2N3CDb--,3S,!S + !C
1NDb2N3CDb--,4C,!C + !H
1NDb2N3CDb--,4D,!D + !S
1NDb2N3CDbRd,3D,!D + !H
1NDb2N3CDbRd,3H,!H + !S
1NDb2N3CDbRd,3N,!C + !D
1NDb2N3CDbRd,3S,!S + !C
1NDb2N3CDbRd,4C,!C + !H
1NDb2N3CDbRd,4D,!D + !S
1NDb,2N,Any 2-suiter; GF
1NDb2NDb,3C,ASK distrib
1NDb2NDb3CDb,3D,!D + !H
1NDb2NDb3CDb,3H,!H + !S
1NDb2NDb3CDb,3N,!C + !D
1NDb2NDb3CDb,3S,!S + !C
1NDb2NDb3CDb,4C,!C + !H
1NDb2NDb3CDb,4D,!D + !S
1NDb2NDb3C--,3D,!D + !H
1NDb2NDb3C--,3H,!H + !S
1NDb2NDb3C--,3N,!C + !D
1NDb2NDb3C--,3S,!S + !C
1NDb2NDb3C--,4C,!C + !H
1NDb2NDb3C--,4D,!D + !S
1NDb2N--,3C,ASK distrib
1NDb2N--3CDb,3D,!D + !H
1NDb2N--3CDb,3H,!H + !S
1NDb2N--3CDb,3N,!C + !D
1NDb2N--3CDb,3S,!S + !C
1NDb2N--3CDb,4C,!C + !H
1NDb2N--3CDb,4D,!D + !S
1NDb2N--3C--,3D,!D + !H
1NDb2N--3C--,3H,!H + !S
1NDb2N--3C--,3N,!C + !D
1NDb2N--3C--,3S,!S + !C
1NDb2N--3C--,4C,!C + !H
1NDb2N--3C--,4D,!D + !S
1NDb,2S,5+!S; NF
1NDb,3C,6+!C; Preempt
1NDb,3D,6+!D; Preempt
1NDb,3H,5+!H; Preempt
1NDb,3S,5+!S; Preempt
1NDb,--,To play
1NDb,Rd,8+HcP; Round
1N--,2C,Stayman
1N--2C--,2D,No 4card MAJOR
1N--2C--2D--,2H,4!H + 4!S; Weak. Pass/correct
1N--2C--2D--,2N,Invite
1N--2C--2D--,2S,ASK distrib
1N--2C--2D--2S--,2N,3-3-3-4; 3-3-4-3
1N--2C--2D--2S--2N--,3C,ASK distrib
1N--2C--2D--2S--2N--3C--,3D,3-3-3-4
1N--2C--2D--2S--2N--3C--,3H,3-3-4-3
1N--2C--2D--2S--,3C,5!C
1N--2C--2D--2S--3C--,3D,ASK distrib
1N--2C--2D--2S--3C--3D--,3H,3-3-2-5
1N--2C--2D--2S--3C--3D--,3N,2-3-3-5
1N--2C--2D--2S--3C--3D--,3S,3-2-3-5
1N--2C--2D--2S--,3D,5!D
1N--2C--2D--2S--3D--,3H,ASK distrib
1N--2C--2D--2S--3D--3H--,3N,2-3-5-3
1N--2C--2D--2S--3D--3H--,3S,3-2-5-3
1N--2C--2D--2S--,3H,3-2-4-4
1N--2C--2D--2S--,3N,3-3-5-2
1N--2C--2D--2S--,3S,2-3-4-4
1N--2C--2D--,3C,4-4-4-1
1N--2C--2D--,3D,4-4-1-4
1N--2C--2D--,3H,4-1-4-4
1N--2C--2D--,3S,1-4-4-4
1N--2C--,2H,4+!H
1N--2C--2H--,2S,ASK distrib
1N--2C--2H--2S--,2N,3-4-3-3
1N--2C--2H--2S--,3C,4!H + 4!C
1N--2C--2H--2S--3C--,3D,ASK distrib
1N--2C--2H--2S--3C--3D--,3H,3-4-2-4
1N--2C--2H--2S--3C--3D--,3S,2-4-3-4
1N--2C--2H--2S--,3D,4!H + 4!D
1N--2C--2H--2S--3D--,3H,ASK distrib
1N--2C--2H--2S--3D--3H--,3N,2-4-4-3
1N--2C--2H--2S--3D--3H--,3S,3-4-4-2
1N--2C--2H--2S--,3H,5!H; 3-5-3-2
1N--2C--2H--2S--,3N,5!H; 2-5-3-3
1N--2C--2H--2S--,3S,5!H; 3-5-2-3
1N--2C--2H--,3H,Invite
1N--2C--2H--,4H,Signoff
1N--2C--,2N,4!H + 4!S
1N--2C--2N--,3D,Trans -> !H
1N--2C--2N--,3H,Trans -> !S
1N--2C--,2S,4+!S
1N--2C--2S--,3C,ASK distrib
1N--2C--2S--3C--,3D,4!S + 4!C
1N--2C--2S--3C--3D--,3H,ASK distrib
1N--2C--2S--3C--3D--3H--,3N,4-2-3-4
1N--2C--2S--3C--3D--3H--,3S,4-3-2-4
1N--2C--2S--3C--,3H,4!S + 4!D; 4-3-4-2
1N--2C--2S--3C--,3N,4-5!S; *4-3-3-3    *5332 dist.
1N--2C--2S--3C--,3S,4!S + 4!D; 4-2-4-3
1N--,2D,Trans -> !H
1N--2D--,2H,3!H
1N--2D--,3H,MAX; 4!H
1N--2D--,3S,MAX; 4!H; 2!S
1N--,2H,Trans -> !S
