BBOalert
2NDb3H--,3N,minimum; 1-2-5-5; 2-1-5-5
2NDb3H--,3S,minimum; 0-3-5-5; 3-0-5-5
2NDb3H--,4C,MAXIMUM; 2-1-5-5
2NDb3H--,4D,MAXIMUM; 1-2-5-5
2NDb3H--,4H,MAXIMUM; 0-3-5-5
2NDb3H--,4S,MAXIMUM; 3-0-5-5
2N--,3C,3+!C
2N--,3D,3+!D
2N--,3H,ASK distrib
2N--3H--,3N,minimum; 1-2-5-5; 2-1-5-5
2N--3H--,3S,minimum; 0-3-5-5; 3-0-5-5
2N--3H--,4C,MAXIMUM; 2-1-5-5
2N--3H--,4D,MAXIMUM; 1-2-5-5
2N--3H--,4H,MAXIMUM; 0-3-5-5
2N--3H--,4S,MAXIMUM; 3-0-5-5
,2S,6-11HcP; 5!S + a minor
2SDb,2N,ASK minor
2SDb,3C,Pass/correct
2SDb,3D,Pass/correct
2SDb,3S,Preempt
2SDb,4S,Signoff
2SDb,--,To play
2SDb,Rd,To play
2S--,2N,ASK minor
2S--,3C,Pass/correct
2S--,3D,Pass/correct
2S--,3S,Preempt
2S--,4S,Signoff
2S--,--,To play
,3C,6-7 !C; Preempt
,3D,6-7 !D; Preempt
,3H,6-7 !H; Preempt
,3N,Good but not solid 7+cd minor
3N--,4C,Pass or correct
3N--,4D,Asks for singleton
3N--4D--,4H,Singleton !H
3N--4D--,4N,Shortness in other minor
3N--4D--4N--,5C,Pass/correct
3N--4D--4N--,5D,Pass/correct
3N--4D--4N--,6C,Pass/correct
3N--4D--4N--,6D,Pass/correct
3N--4D--,4S,Singleton !S
3N--4D--,5C,7!C222
3N--4D--,5D,7!D222
3N--,4H,Signoff
3N--,4N,Blackwood 03/14
3N--,4S,Signoff
3N--,5C,Pass/correct
3N--,6C,Pass/correct
,3S,6-7 !S; Preempt
,4C,Please read chat#10-14HcP;7-8!H;solid + Ace or King outside; Namyats conv
4C--,4D,ASK aces
4C--4D--,4H,Ace
4C--4D--,4S,Ace
4C--4D--,5C,Ace
4C--4D--,5D,Ace
4C--4D--,5H,No ace
4C--,4H,Signoff
4C--,4S,CUE
4C--,5C,CUE
4C--,5D,CUE
,4D,Please read chat#10-14HcP;7-8!S;solid + Ace or King outside; Namyats conv
4D--,4H,ASK aces
4D--4H--,4S,Ace
4D--4H--,5C,Ace
4D--4H--,5D,Ace
4D--4H--,5H,Ace
4D--4H--,5S,No ace
4D--,4S,Signoff
4D--,5C,CUE
4D--,5D,CUE
4D--,5H,CUE
,4H,8+!H; 7-8 tricks
,4S,8+!S; 7-8 tricks
,5C,8+!C; 8+ tricks
,5D,8+!D; 8+ tricks
Option,Opening @1@2
1C1D,1H,5+!H; Round
1C1D,1N,Balanced; NF
1C1D,1S,5+!S; Round
1C1D,2C,5+!C; NF
1C1D,2D,*11-12HcP; bal   *4+!C; GF
1C1D,2H,5+!H; GF
1C1D,2N,Balanced; invite
1C1D,2S,5+!S; GF
1C1D,3C,4+!C; Invite
1C1D,3D,4+!C; 0-1!D
1C1D,3H,4+!C; 0-1!H
1C1D,3S,4+!C; 0-1!S
1C1D,Db,7+HcP; 4!H + 4!S
1C1D,--,Weak or trap
1C1H,1N,Balanced; NF
1C1H,1S,5+!S; Round
1C1H,2C,5+!C; NF
1C1H,2D,5+!D; NF
1C1H,2H,GF any; 0-1!H
1C1H,2N,Balanced; invite
1C1H,2S,5+!S; GF
1C1H,3C,4+!C; Invite
1C1H,3D,5+!D; Invite
1C1H,3H,4+!C; 0-1!H
1C1H,3S,4+!C; 0-1!S
1C1H,Db,Positive; 0-3!S
1C1H,--,Weak or trap
1C1N,2C,5+!C; Round
1C1N,2D,5+!D; Round
1C1N,2H,5+!H; Round
1C1N2N3C,Db,ASK distrib
1C1N2N3CDb--,3D,!D + !H
1C1N2N3CDb--,3H,!H + !S
1C1N2N3CDb--,3N,!C + !D
1C1N2N3CDb--,3S,!S + !C
1C1N2N3CDb--,4C,!C + !H
1C1N2N3CDb--,4D,!D + !S
1C1N2N3CDbRd,3D,!D + !H
1C1N2N3CDbRd,3H,!H + !S
1C1N2N3CDbRd,3N,!C + !D
1C1N2N3CDbRd,3S,!S + !C
1C1N2N3CDbRd,4C,!C + !H
1C1N2N3CDbRd,4D,!D + !S
1C1N,2N,Any 2-suiter; GF 
1C1N2NDb,3C,ASK distrib
1C1N2NDb3CDb,3D,!D + !H
1C1N2NDb3CDb,3H,!H + !S
1C1N2NDb3CDb,3N,!C + !D
1C1N2NDb3CDb,3S,!S + !C
1C1N2NDb3CDb,4C,!C + !H
1C1N2NDb3CDb,4D,!D + !S
1C1N2NDb3C--,3D,!D + !H
1C1N2NDb3C--,3H,!H + !S
1C1N2NDb3C--,3N,!C + !D
1C1N2NDb3C--,3S,!S + !C
1C1N2NDb3C--,4C,!C + !H
1C1N2NDb3C--,4D,!D + !S
1C1N2N--,3C,ASK distrib
1C1N2N--3CDb,3D,!D + !H
1C1N2N--3CDb,3H,!H + !S
1C1N2N--3CDb,3N,!C + !D
1C1N2N--3CDb,3S,!S + !C
1C1N2N--3CDb,4C,!C + !H
1C1N2N--3CDb,4D,!D + !S
1C1N2N--3C--,3D,!D + !H
1C1N2N--3C--,3H,!H + !S
1C1N2N--3C--,3N,!C + !D
1C1N2N--3C--,3S,!S + !C
1C1N2N--3C--,4C,!C + !H
1C1N2N--3C--,4D,!D + !S
1C1N,2S,5+!S; Round
1C1N,3C,5+!C; GF
1C1N,3D,5+!D; GF
1C1N,3H,5+!H; GF
1C1N,3S,5+!S; GF
1C1N,Db,Takeout
1C1N,--,To play
1C1S,1N,Balanced; NF
1C1S,2C,5+!C; NF
1C1S,2D,5+!D; NF
1C1S,2H,5+!H; NF
1C1S,2N,Balanced; invite
1C1S,2S,GF any; 0-1!S
1C1S,3C,4+!C; Invite
1C1S,3D,5+!D; Invite
1C1S,3H,4+!C; 0-1!H
1C1S,3S,4+!C; 0-1!S
1C1S,Db,*7-10HcP; 2!H exactly   *10+HcP
1C1S,--,Weak or trap
1C2C,2D,5+!D; Round
1C2C,2H,5+!H; Round
1C2C2N3C,Db,ASK distrib
1C2C2N3CDb--,3D,!D + !H
1C2C2N3CDb--,3H,!H + !S
1C2C2N3CDb--,3N,!C + !D
1C2C2N3CDb--,3S,!S + !C
1C2C2N3CDb--,4C,!C + !H
1C2C2N3CDb--,4D,!D + !S
1C2C2N3CDbRd,3D,!D + !H
1C2C2N3CDbRd,3H,!H + !S
1C2C2N3CDbRd,3N,!C + !D
1C2C2N3CDbRd,3S,!S + !C
1C2C2N3CDbRd,4C,!C + !H
1C2C2N3CDbRd,4D,!D + !S
1C2C,2N,Any 2-suiter; GF 
1C2C2NDb,3C,ASK distrib
1C2C2NDb3CDb,3D,!D + !H
1C2C2NDb3CDb,3H,!H + !S
1C2C2NDb3CDb,3N,!C + !D
1C2C2NDb3CDb,3S,!S + !C
1C2C2NDb3CDb,4C,!C + !H
1C2C2NDb3CDb,4D,!D + !S
1C2C2NDb3C--,3D,!D + !H
1C2C2NDb3C--,3H,!H + !S
1C2C2NDb3C--,3N,!C + !D
1C2C2NDb3C--,3S,!S + !C
1C2C2NDb3C--,4C,!C + !H
1C2C2NDb3C--,4D,!D + !S
1C2C2N--,3C,ASK distrib
1C2C2N--3CDb,3D,!D + !H
1C2C2N--3CDb,3H,!H + !S
1C2C2N--3CDb,3N,!C + !D
1C2C2N--3CDb,3S,!S + !C
1C2C2N--3CDb,4C,!C + !H
1C2C2N--3CDb,4D,!D + !S
1C2C2N--3C--,3D,!D + !H
1C2C2N--3C--,3H,!H + !S
1C2C2N--3C--,3N,!C + !D
1C2C2N--3C--,3S,!S + !C
1C2C2N--3C--,4C,!C + !H
1C2C2N--3C--,4D,!D + !S
1C2C,2S,5+!S; Round
1C2C,3C,ASK stop
1C2C3C--,3D,No stop
1C2C3C--,3N,Stop OK
1C2C,3D,5+!D; GF
1C2C,3H,5+!H; GF
1C2C,3S,5+!S; GF
1C2C,Db,Takeout
1C2C,--,To play
1C2D,2H,5+!H; Round
1C2D2N3C,Db,ASK distrib
1C2D2N3CDb--,3D,!D + !H
1C2D2N3CDb--,3H,!H + !S
1C2D2N3CDb--,3N,!C + !D
1C2D2N3CDb--,3S,!S + !C
1C2D2N3CDb--,4C,!C + !H
1C2D2N3CDb--,4D,!D + !S
1C2D2N3CDbRd,3D,!D + !H
1C2D2N3CDbRd,3H,!H + !S
1C2D2N3CDbRd,3N,!C + !D
1C2D2N3CDbRd,3S,!S + !C
1C2D2N3CDbRd,4C,!C + !H
1C2D2N3CDbRd,4D,!D + !S
1C2D,2N,Any 2-suiter; GF 
1C2D2NDb,3C,ASK distrib
1C2D2NDb3CDb,3D,!D + !H
1C2D2NDb3CDb,3H,!H + !S
1C2D2NDb3CDb,3N,!C + !D
1C2D2NDb3CDb,3S,!S + !C
1C2D2NDb3CDb,4C,!C + !H
1C2D2NDb3CDb,4D,!D + !S
1C2D2NDb3C--,3D,!D + !H
1C2D2NDb3C--,3H,!H + !S
1C2D2NDb3C--,3N,!C + !D
1C2D2NDb3C--,3S,!S + !C
1C2D2NDb3C--,4C,!C + !H
1C2D2NDb3C--,4D,!D + !S
1C2D2N--,3C,ASK distrib
1C2D2N--3CDb,3D,!D + !H
1C2D2N--3CDb,3H,!H + !S
1C2D2N--3CDb,3N,!C + !D
1C2D2N--3CDb,3S,!S + !C
1C2D2N--3CDb,4C,!C + !H
1C2D2N--3CDb,4D,!D + !S
1C2D2N--3C--,3D,!D + !H
1C2D2N--3C--,3H,!H + !S
1C2D2N--3C--,3N,!C + !D
1C2D2N--3C--,3S,!S + !C
1C2D2N--3C--,4C,!C + !H
1C2D2N--3C--,4D,!D + !S
1C2D,2S,5+!S; Round
1C2D,3C,5+!C; Round
1C2D,3D,ASK stop
1C2D3D--,3H,No stop
1C2D3D--,3N,Stop OK
1C2D,3H,5+!H; GF
1C2D,3S,5+!S; GF
1C2D,Db,Takeout
1C2D,--,To play
1C2H2N3C,Db,ASK distrib
1C2H2N3CDb--,3D,!D + !H
1C2H2N3CDb--,3H,!H + !S
1C2H2N3CDb--,3N,!C + !D
1C2H2N3CDb--,3S,!S + !C
1C2H2N3CDb--,4C,!C + !H
1C2H2N3CDb--,4D,!D + !S
1C2H2N3CDbRd,3D,!D + !H
1C2H2N3CDbRd,3H,!H + !S
1C2H2N3CDbRd,3N,!C + !D
1C2H2N3CDbRd,3S,!S + !C
1C2H2N3CDbRd,4C,!C + !H
1C2H2N3CDbRd,4D,!D + !S
1C2H,2N,Any 2-suiter; GF 
1C2H2NDb,3C,ASK distrib
1C2H2NDb3CDb,3D,!D + !H
1C2H2NDb3CDb,3H,!H + !S
1C2H2NDb3CDb,3N,!C + !D
1C2H2NDb3CDb,3S,!S + !C
1C2H2NDb3CDb,4C,!C + !H
1C2H2NDb3CDb,4D,!D + !S
1C2H2NDb3C--,3D,!D + !H
1C2H2NDb3C--,3H,!H + !S
1C2H2NDb3C--,3N,!C + !D
1C2H2NDb3C--,3S,!S + !C
1C2H2NDb3C--,4C,!C + !H
1C2H2NDb3C--,4D,!D + !S
1C2H2N--,3C,ASK distrib
1C2H2N--3CDb,3D,!D + !H
1C2H2N--3CDb,3H,!H + !S
1C2H2N--3CDb,3N,!C + !D
1C2H2N--3CDb,3S,!S + !C
1C2H2N--3CDb,4C,!C + !H
1C2H2N--3CDb,4D,!D + !S
1C2H2N--3C--,3D,!D + !H
1C2H2N--3C--,3H,!H + !S
1C2H2N--3C--,3N,!C + !D
1C2H2N--3C--,3S,!S + !C
1C2H2N--3C--,4C,!C + !H
1C2H2N--3C--,4D,!D + !S
1C2H,2S,5+!S; Round
1C2H,3C,5+!C; Round
1C2H,3D,5+!D; Round
1C2H,3H,ASK stop
1C2H3H--,3N,Stop OK
1C2H3H--,3S,No stop
1C2H,3S,5+!S; GF
1C2H,Db,Takeout
1C2H,--,To play
1C2S2N3C,Db,ASK distrib
1C2S2N3CDb--,3D,!D + !H
1C2S2N3CDb--,3H,!H + !S
1C2S2N3CDb--,3N,!C + !D
1C2S2N3CDb--,3S,!S + !C
1C2S2N3CDb--,4C,!C + !H
1C2S2N3CDb--,4D,!D + !S
1C2S2N3CDbRd,3D,!D + !H
1C2S2N3CDbRd,3H,!H + !S
1C2S2N3CDbRd,3N,!C + !D
1C2S2N3CDbRd,3S,!S + !C
1C2S2N3CDbRd,4C,!C + !H
1C2S2N3CDbRd,4D,!D + !S
1C2S,2N,Any 2-suiter; GF 
1C2S2NDb,3C,ASK distrib
1C2S2NDb3CDb,3D,!D + !H
1C2S2NDb3CDb,3H,!H + !S
1C2S2NDb3CDb,3N,!C + !D
1C2S2NDb3CDb,3S,!S + !C
1C2S2NDb3CDb,4C,!C + !H
1C2S2NDb3CDb,4D,!D + !S
1C2S2NDb3C--,3D,!D + !H
1C2S2NDb3C--,3H,!H + !S
1C2S2NDb3C--,3N,!C + !D
1C2S2NDb3C--,3S,!S + !C
1C2S2NDb3C--,4C,!C + !H
1C2S2NDb3C--,4D,!D + !S
1C2S2N--,3C,ASK distrib
1C2S2N--3CDb,3D,!D + !H
1C2S2N--3CDb,3H,!H + !S
1C2S2N--3CDb,3N,!C + !D
1C2S2N--3CDb,3S,!S + !C
1C2S2N--3CDb,4C,!C + !H
1C2S2N--3CDb,4D,!D + !S
1C2S2N--3C--,3D,!D + !H
1C2S2N--3C--,3H,!H + !S
1C2S2N--3C--,3N,!C + !D
1C2S2N--3C--,3S,!S + !C
1C2S2N--3C--,4C,!C + !H
1C2S2N--3C--,4D,!D + !S
1C2S,3C,5+!C; Round
1C2S,3D,5+!D; Round
1C2S,3H,5+!H; Round
1C2S,3S,ASK stop
1C2S3S--,3N,Stop OK
1C2S3S--,4C,No stop
1C2S,Db,Takeout
1C2S,--,To play
1C3C,3D,5+!D; Round
1C3C,3H,5+!H; Round
1C3C,3S,5+!S; Round
1C3C,Db,Takeout
1C3C,--,To play
1C3D,3H,5+!H; Round
1C3D,3S,5+!S; Round
1C3D,Db,Takeout
1C3D,--,To play
1C3H,3S,5+!S; Round
1C3H,Db,Takeout
1C3H,--,To play
1C3S,Db,Takeout
1C3S,--,To play
,1C,Please read chat#Always: 2+!C   *12-15HcP;bal   *12-18HcP;4414;0-1!D   *15-18HcP;5+!C   *19+HcP;ANY
1CDb,1D,Weak escape
1CDb,1H,7+HcP; 4+!H
1CDb1H--,1N,12-15HcP; bal. No 4card MAJOR
1CDb1H--1N--,2D,New minor forcing
1CDb1H--1N--2D--,2H,min; 3!H
1CDb1H--1N--2D--,2N,MAX; 2-3!H
1CDb1H--1N--2D--,2S,min; 2-3!H
1CDb1H--1N--2D--,3C,Natural; 5+!C
1CDb1H--1N--2D--,3D,MAX; 2-3!H; No !D stop
1CDb1H--1N--2D--,3H,MAX; 3!H
1CDb1H--,1S,4+!S
1CDb1H--,2C,4+!C; 0-1!H
1CDb1H--,2D,ASK distrib
1CDb1H--2D--,2H,4!H; weak hand
1CDb1H--2D--,2N,4!H; Strong hand
1CDb1H--2D--,2S,5!H; Weak hand
1CDb1H--2D--,3C,5!H; Strong hand
1CDb1H--2D--,3D,6!H; Weak hand
1CDb1H--2D--,3H,6!H; Strong hand
1CDb1H--,2H,12-15HcP; 4+!H; NF
1CDb1H--,2N,18+HcP; bal
1CDb1H--,2S,19+HcP; 5+!S
1CDb1H--,3C,19+HcP; 6+!C; GF
1CDb1H--,3D,19+HcP; 6+!D; GF
1CDb1H--,3H,15-17HcP; 4+!H; NF
1CDb1H--,3N,19-21HcP; 0-1!H
1CDb1H--,4C,17-18HcP; 6!C + 4!H
1CDb1H--,4H,17-18HcP; 2-4-2-5
1CDb,1N,7-10HcP; bal. No 4card MAJOR
1CDb1N--,2C,16+HcP; 5+!C; Round
1CDb1N--,2D,ASK distrib
1CDb1N--2D--,2H,5!C
1CDb1N--2D--2H--,2S,ASK distrib
1CDb1N--2D--2H--2S--,2N,3-3-2-5
1CDb1N--2D--2H--2S--,3C,3-2-3-5
1CDb1N--2D--2H--2S--,3D,2-3-3-5
1CDb1N--2D--2H--2S--,3H,2-2-4-5
1CDb1N--2D--2H--2S--,3N,1-3-4-5
1CDb1N--2D--2H--2S--,3S,3-1-4-5
1CDb1N--2D--,2N,3-3-3-4; 3-3-4-3; 3-2-4-4; 2-3-4-4 
1CDb1N--2D--2N--,3C,ASK distrib
1CDb1N--2D--2N--3C--,3D,3-2-4-4
1CDb1N--2D--2N--3C--,3H,2-3-4-4
1CDb1N--2D--2N--3C--,3N,3-3-4-3
1CDb1N--2D--2N--3C--,3S,3-3-3-4
1CDb1N--2D--,2S,5!D
1CDb1N--2D--2S--,2N,ASK distrib
1CDb1N--2D--2S--2N--,3C,3-3-5-2
1CDb1N--2D--2S--2N--,3D,3-2-5-3
1CDb1N--2D--2S--2N--,3H,2-3-5-3
1CDb1N--2D--2S--2N--,3N,3-1-5-4
1CDb1N--2D--2S--2N--,3S,2-2-5-4
1CDb1N--2D--2S--2N--,4C,1-3-5-4
1CDb1N--2D--,3C,6!C
1CDb1N--2D--3C--,3D,ASK distrib
1CDb1N--2D--3C--3D--,3H,2-2-3-6
1CDb1N--2D--3C--3D--,3N,3-2-2-6
1CDb1N--2D--3C--3D--,3S,2-3-2-6
1CDb1N--2D--,3D,6!D
1CDb1N--2D--3D--,3H,ASK distrib
1CDb1N--2D--3D--3H--,3N,2-3-6-2
1CDb1N--2D--3D--3H--,3S,2-2-6-3
1CDb1N--2D--3D--3H--,4C,3-2-6-2
1CDb1N--2D--,3H,2-2-2-7
1CDb1N--2D--,3S,2-2-7-2
1CDb1N--,2H,18+HcP; 5+!H; GF
1CDb1N--,2N,16-17HcP; Invite
1CDb1N--,2S,18+HcP; 5+!S; GF
1CDb1N--,3C,19+HcP; 6+!C; GF. CUE continue
1CDb1N--,3D,19+HcP; 6+!D; GF. CUE continue
1CDb1N--,3H,19+HcP; 6+!H; GF. CUE continue
1CDb1N--,3N,19-22HcP; Signoff
1CDb1N--,3S,19+HcP; 6+!S; GF. CUE continue
1CDb1N--,4C,19+HcP; RKCB 14/03 in !C
1CDb1N--,4D,19+HcP; RKCB 14/03 in !D
1CDb1N--,4H,18-19HcP; 6+!H
1CDb1N--,4S,18-19HcP; 6+!S
1CDb1N--,--,To play
1CDb,1S,7+HcP; 4+!S; 0-3!H
1CDb1S--,1N,12-15HcP; bal. No 4card MAJOR
1CDb1S--1N--,2D,New minor forcing
1CDb1S--1N--2D--,2H,Natural; 4+!H
1CDb1S--1N--2D--,2N,2-3!H; No other rebid
1CDb1S--1N--2D--,2S,min; 3!S; 2-4!H
1CDb1S--1N--2D--,3C,MAX; 2-3!S; No !C stop
1CDb1S--1N--2D--,3D,Natural; 5+!D
1CDb1S--1N--2D--,3S,MAX; 3!S
1CDb1S--,2C,4+!C; 0-1!S
1CDb1S--,2D,ASK distrib
1CDb1S--2D--,2H,4!S; weak hand
1CDb1S--2D--,2N,4!S; Strong hand
1CDb1S--2D--,2S,5!S; Weak hand
1CDb1S--2D--,3C,5!S; Strong hand
1CDb1S--2D--,3D,6!S; Weak hand
1CDb1S--2D--,3H,6!S; Strong hand
1CDb1S--,2N,18+HcP; bal
1CDb1S--,2S,12-15HcP; 4+!S
1CDb1S--,3C,19+HcP; 6+!C; GF
1CDb1S--,3D,19+HcP; 6+!D; GF
1CDb1S--,3H,19+HcP; 4+!H; 0-1!S
1CDb1S--,3N,19-21HcP; 0-1!S
1CDb1S--,3S,15-17HcP; 4+!S; NF
1CDb1S--,4C,17-18HcP; 6!C + 4!S
1CDb1S--,4S,17-18HcP; 4-2-2-5
1CDb,2C,5+!C; NF
1CDb,2D,6+!D; NF
1CDb,2H,6+!H; NF
1CDb,2N,A minor; NF
1CDb2N--,3C,Pass/correct
1CDb2N--,3D,Pass/correct
1CDb2N--,--,To play
1CDb,2S,6+!S; NF
1CDb,3C,9-11HcP; 6+!C; Invite
1CDb,3D,9-11HcP; 6+!D; Invite
1CDb,3H,6+!H; Preempt
1CDb,3S,6+!S; Preempt
1CDb,--,*0-6HcP; 3+!C   *7-10HcP; 4+!C
1CDb,Rd,*10-12HcP   *GF any
1C--,1D,Please read chat#*0-6HcP; ANY   *7-11HcP; unbal; 16+HcP; bal
1C--1DDb,1H,Please read chat#*12-15HcP; 3-4!H   *15-18HcP; 4!H   *19-20HcP; 5!H  19-20HcP; 4!H+5!D 
1C--1DDb1H--,1N,Weak; No fit
1C--1DDb1H--,1S,0-6HcP; 4+!S
1C--1DDb1H--,2C,7-11HcP; 5+!C
1C--1DDb1H--,2D,7-11HcP; 5+!D
1C--1DDb1H--,2H,5+!H; Preempt
1C--1DDb1H--,2N,16+HcP; bal
1C--1DDb1H--2N--,3C,Stayman
1C--1DDb1H--,--,To play
1C--1DDb1N2C,2D,5+!D; NF
1C--1DDb1N2C,2H,5+!H; NF
1C--1DDb1N2C,2N,*Weak !C   *GF any; No stop
1C--1DDb1N2C2N--,3C,Relay
1C--1DDb1N2C2N--3C--,3D,A MAJOR; No stop
1C--1DDb1N2C2N--3C--3D--,3H,4!H
1C--1DDb1N2C2N--3C--3D--,3N,Stop OK
1C--1DDb1N2C2N--3C--3D--,3S,4!S
1C--1DDb1N2C2N--3C--3D--,4C,4!H + 4!S
1C--1DDb1N2C2N--3C--,--,To play
1C--1DDb1N2C,2S,5+!S; NF
1C--1DDb1N2C,3C,ASK stop
1C--1DDb1N2C3C--,3D,No stop
1C--1DDb1N2C3C--,3N,Stop OK
1C--1DDb1N2C,3D,5+!D; Invite
1C--1DDb1N2C,3H,5+!H; Invite
1C--1DDb1N2C,3N,Signoff
1C--1DDb1N2C,3S,5+!S; Invite
1C--1DDb1N2C,4D,Trans -> !H
1C--1DDb1N2C,4H,Trans -> !S
1C--1DDb1N2C,Db,Sputnik; No rebid promised
1C--1DDb1N2C,--,To play
1C--1DDb1N2D,2H,5+!H; NF
1C--1DDb1N2D,2N,*Weak !C   *GF any; No stop
1C--1DDb1N2D2N--,3C,Relay
1C--1DDb1N2D2N--3C--,3D,A MAJOR; No stop
1C--1DDb1N2D2N--3C--3D--,3H,4!H
1C--1DDb1N2D2N--3C--3D--,3N,Stop OK
1C--1DDb1N2D2N--3C--3D--,3S,4!S
1C--1DDb1N2D2N--3C--3D--,4C,4!H + 4!S
1C--1DDb1N2D2N--3C--,--,To play
1C--1DDb1N2D,2S,5+!S; NF
1C--1DDb1N2D,3C,5+!C; NF
1C--1DDb1N2D,3D,ASK stop
1C--1DDb1N2D3D--,3H,No stop
1C--1DDb1N2D3D--,3N,Stop OK
1C--1DDb1N2D,3H,5+!H; Invite
1C--1DDb1N2D,3N,Signoff
1C--1DDb1N2D,3S,5+!S; Invite
1C--1DDb1N2D,4C,5+!C; Invite
1C--1DDb1N2D,4D,Trans -> !H
1C--1DDb1N2D,4H,Trans -> !S
1C--1DDb1N2D,Db,Sputnik; No rebid promised
1C--1DDb1N2D,--,To play
1C--1DDb1N2H,2N,*Weak minor   *GF any; No stop
1C--1DDb1N2H2N--,3C,Relay
1C--1DDb1N2H2N--3C--,3D,Signoff
1C--1DDb1N2H2N--3C--,3H,4!S; No stop
1C--1DDb1N2H2N--3C--,3N,4!S + stop
1C--1DDb1N2H2N--3C--,3S,5!S; GF
1C--1DDb1N2H2N--3C--,4H,Trans -> !S
1C--1DDb1N2H2N--3C--,--,To play
1C--1DDb1N2H,2S,5+!S; NF
1C--1DDb1N2H,3C,6+!C; Invite
1C--1DDb1N2H,3D,6+!D; Invite
1C--1DDb1N2H,3H,ASK stop
1C--1DDb1N2H3H--,3N,Stop OK
1C--1DDb1N2H3H--,3S,No stop
1C--1DDb1N2H,3N,Signoff
1C--1DDb1N2H,3S,5+!S; Invite
1C--1DDb1N2H,4H,Trans -> !S
1C--1DDb1N2H,Db,Penalty
1C--1DDb1N2H,--,To play
1C--1DDb1N2S,2N,*Weak minor   *GF any; No stop
1C--1DDb1N2S2N--,3C,Relay
1C--1DDb1N2S2N--3C--,3D,Signoff
1C--1DDb1N2S2N--3C--,3H,5!H; GF
1C--1DDb1N2S2N--3C--,3N,4!H + stop
1C--1DDb1N2S2N--3C--,3S,4!H; No stop
1C--1DDb1N2S2N--3C--,4D,Trans -> !H
1C--1DDb1N2S2N--3C--,--,To play
1C--1DDb1N2S,3C,6+!C; Invite
1C--1DDb1N2S,3D,6+!D; Invite
1C--1DDb1N2S,3H,5+!H; Invite
1C--1DDb1N2S,3N,Signoff
1C--1DDb1N2S,3S,ASK stop
1C--1DDb1N2S3S--,3N,Stop OK
1C--1DDb1N2S3S--,4C,No stop
1C--1DDb1N2S,4D,Trans -> !H
1C--1DDb1N2S,Db,Penalty
1C--1DDb1N2S,--,To play
1C--1DDb,1N,18-21HcP; bal
1C--1DDb1NDb,2C,6+!C; NF
1C--1DDb1NDb,2D,6+!D; NF
1C--1DDb1NDb,2H,5+!H; NF
1C--1DDb1NDb2N3C,Db,ASK distrib
1C--1DDb1NDb2N3CDb--,3D,!D + !H
1C--1DDb1NDb2N3CDb--,3H,!H + !S
1C--1DDb1NDb2N3CDb--,3N,!C + !D
1C--1DDb1NDb2N3CDb--,3S,!S + !C
1C--1DDb1NDb2N3CDb--,4C,!C + !H
1C--1DDb1NDb2N3CDb--,4D,!D + !S
1C--1DDb1NDb2N3CDbRd,3D,!D + !H
1C--1DDb1NDb2N3CDbRd,3H,!H + !S
1C--1DDb1NDb2N3CDbRd,3N,!C + !D
1C--1DDb1NDb2N3CDbRd,3S,!S + !C
1C--1DDb1NDb2N3CDbRd,4C,!C + !H
1C--1DDb1NDb2N3CDbRd,4D,!D + !S
1C--1DDb1NDb,2N,Any 2-suiter; GF
1C--1DDb1NDb2NDb,3C,ASK distrib
1C--1DDb1NDb2NDb3CDb,3D,!D + !H
1C--1DDb1NDb2NDb3CDb,3H,!H + !S
1C--1DDb1NDb2NDb3CDb,3N,!C + !D
1C--1DDb1NDb2NDb3CDb,3S,!S + !C
1C--1DDb1NDb2NDb3CDb,4C,!C + !H
1C--1DDb1NDb2NDb3CDb,4D,!D + !S
1C--1DDb1NDb2NDb3C--,3D,!D + !H
1C--1DDb1NDb2NDb3C--,3H,!H + !S
1C--1DDb1NDb2NDb3C--,3N,!C + !D
1C--1DDb1NDb2NDb3C--,3S,!S + !C
1C--1DDb1NDb2NDb3C--,4C,!C + !H
1C--1DDb1NDb2NDb3C--,4D,!D + !S
1C--1DDb1NDb2N--,3C,ASK distrib
1C--1DDb1NDb2N--3CDb,3D,!D + !H
1C--1DDb1NDb2N--3CDb,3H,!H + !S
1C--1DDb1NDb2N--3CDb,3N,!C + !D
1C--1DDb1NDb2N--3CDb,3S,!S + !C
1C--1DDb1NDb2N--3CDb,4C,!C + !H
1C--1DDb1NDb2N--3CDb,4D,!D + !S
1C--1DDb1NDb2N--3C--,3D,!D + !H
1C--1DDb1NDb2N--3C--,3H,!H + !S
1C--1DDb1NDb2N--3C--,3N,!C + !D
1C--1DDb1NDb2N--3C--,3S,!S + !C
1C--1DDb1NDb2N--3C--,4C,!C + !H
1C--1DDb1NDb2N--3C--,4D,!D + !S
1C--1DDb1NDb,2S,5+!S; NF
1C--1DDb1NDb,3C,6+!C; Preempt
1C--1DDb1NDb,3D,6+!D; Preempt
1C--1DDb1NDb,3H,5+!H; Preempt
1C--1DDb1NDb,3S,5+!S; Preempt
1C--1DDb1NDb,--,To play
1C--1DDb1NDb,Rd,8+HcP; Round
1C--1DDb1N--,2C,Stayman
1C--1DDb1N--2C--,2D,No 4card MAJOR
1C--1DDb1N--2C--2D--,2H,4!H + 4!S; Weak. Pass/correct
1C--1DDb1N--2C--2D--,2N,Invite
1C--1DDb1N--2C--2D--,2S,ASK distrib
1C--1DDb1N--2C--2D--2S--,2N,3-3-3-4; 3-3-4-3
